NEARMISSES	Squeakers
NIBS	Points put on paper
ENYA	"Book of Days" songstress
AGAR	Ice cream ingredient
RONDELLE	Jeweler's spacer bead
MOD	All the rage
IDLEST	"Or ___ froth amid the boundless main": Emily Brontë
SPARE	Backup
SARA	___ Delano Roosevelt
ERG	Piece of work?
STEPHENS	Women's college in Columbia, Mo.
STDS	Benchmarks: Abbr.
SCRAMS	Bolts
THERMOPILE	Radiant energy measurer
DANCEFEVER	1980's TV show in which contestants boogied
SPEEDTRAPS	Radar ranges?
INGOODPART	Substantially
CHAP	Crack slightly
BYANDLARGE	Generally
RENE	Peace Nobelist Cassin
SARD	Reddish-brown gem
ERA	Decade or so
PEARCE	Actor Guy of "Memento" and "The Time Machine"
EAST	Down ___
ELSE	Besides
LOS	Alicante article
SHAMMED	Played possum
SOURS	Becomes unpleasant
CARLOT	It may contain crates
COPACABANA	Stork Club alternative
APOTHEOSES	Perfect examples
REPAIRSHOP	Where one's body may be worked on
GOESSOFT	Relaxes
GRIEG	"Holberg Suite" composer
OPELS	They're called Vauxhalls in the U.K.
GRUNT	Gym sound
GATOR	Swamp thing
PER	Through
POPE	Castel Gandolfo resident
HAIRS	Eyebrow makeup
HEDONICS	Psychology of pleasure
DIVA	Demanding star, maybe
DUNGAREE	Blue denim
ATA	___ crossroads
TETES	They may be counted in French class
TITO	Baseball's Fuentes
JULEP	Churchill Downs favorite
JON	A Stewart
CHILIDOG	Bun filler
LATENS	Approaches midnight, say
TONERS	Some beauty supplies
TOATEE	Nice way of fitting
AERATOR	Greenskeeper's gizmo
PONG	Simple game with a paddle
PLODS	Goes none too quickly
BOSTON	Paul Revere House locale
ALA	Taking after
AINT	It may get under a grammarian's skin
APSO	Lhasa ___
POLS	The in crowd?
SOLO	Band member's big moment
OFAN	Germ ___ idea
ASHE	"Off the Court" autobiographer
IDIOTPROOF	Extremely simple
DIE	Go kaput
PRY	Jimmy
NEON	It's noble
CINDERELLA	Coming from obscurity to success
ASPS	Venom producers
SETSEYESON	Regards
