SLAMS	Doesn't just close
SPICY	Hot
LINOS	Brits' floor coverings
ANKLE	Twist locale
MAJORBARBARA	1905 Shaw play
STER	Suffix with hip
DAH	Morse bit
DEFIANCE	Contempt
AMIN	Exiled tyrant
HORDE	Multitude
WHEE	"This is fun!"
WIPED	Erased
HORSY	Like the fox hunting set
ENOS	Grandson of Eve
ESO	"___ Beso" (Anka hit)
CLOT	Not run
CLAN	Family group
LACERTA	The Lizard constellation
OCEANID	Sea nymph
TERRACE	Retaining wall site
PINATA	It's broken at parties
ATBAT	No longer on deck
EMOTIONS	They're often kept in
TEND	Watch
LACE	Spike
INKJET	Laser alternative
FIREPROOF	Like some vaults
FLOORBROKER	Exchange employee
ACER	Service expert
COLORBLINDNESS	Fairness in hiring, say
LAIRD	Scottish landowner
LINEAR	One-dimensional
IAMBUS	Foot in a line
YSER	River through Belgium
AAA	Distress call recipient: Abbr.
EDDY	Whirl
BOA	Fancy neckwear
BROMIDES	Trite sayings
RNA	Genetic code carrier
BITING	Sarcastic
ISEE	"Mm-hmm"
GABLE	Gothic feature
AROMATIC	Like cedarwood or cigar smoke
AZO	Prefix with benzene
ALS	Singer Green and others
ABBAS	Coptic titles
ACHIEST	Hurting the most
BLOOMER	Late ___
BATTERY	Usually it's not included
RCAS	Some TV's
STERN	Back on the briny
RAZORBLADE	Cutting tool
RRS	$200 Monopoly props.
AHEM	"Beg pardon ..."
CLARE	County north of the river Shannon
DEBT	It's outstanding
RHOMBUS	Geometric figure
HOTBED	Rapid growth area
DOCTORBILLS	Medical group output
LEASE	Alternative to buy
ASSET	Selling point
IRS	Apr. addressee
LAP	Computer site
LABOURS	Shakespearean title word
ARIDEST	Least interesting
PRESSES	Symbols of free speech
IOTA	Smidgen
OTHERS	Extras
TRAMROAD	Mine artery
HUM	Proceed without the words
MEDO	"Love ___" (Beatles song)
ELI	Teacher of Samuel
CARR	"It Walks by Night" author
CONVEYORBELT	Factory conduit
EMER	Part of E.R.: Abbr.
CRU	French vineyard
NSA	Hush-hush grp.
AXERS	Lumberjacks
LEK	Albanian currency
OBIE	Award for "Rent"
SERA	Toxin fighters
TAMS	Caps
SHIN	Place for a guard
EXCISE	Certain duty
CREEP	Weirdo
NODS	Dozes
TRY	Stab
COM	It may follow a dot
CARTEL	Syndicate
HATER	Fan's opposite
AND	"Go on ..."
REVUES	Some Broadway fare
ETCH	Emulate Dürer
CARRYIN	Personally bring
COR	___ anglais (English horn)
YUL	Actor Brynner
REFS	Calls, as a game
FLAMBEED	How peaches may be served
SANTA	A fly-by-night?
TERSE	Clipped
HONORBOUND	Obliged out of integrity
HIPPIES	Longhairs
ONEONTA	New York city on the Susquehanna
NETWORK	Like some television
SELA	Actress Ward
CYSTS	Sacs
INERTIAL	Kind of mass, in physics
PANCHO	Villa in Mexico
CASTS	Flings
PET	Treat like a dog?
ELD	Antiquity, in antiquity
SERB	Balkan native
SNERT	Hägar the Horrible's dog
EDICT	Pronouncement
ROSE	Dawn-colored
BOSUN	Merchant vessel officer
MTA	Rapid transit inits.
RTES	P.O. employees have them
TABOO	Ban
ELLEN	1942 Pulitzer novelist Glasgow
SLEDS	Coasters
POWELL	Anthony Kennedy's Supreme Court predecessor
ERES	"___ Tu" (1974 hit)
INDOORBASEBALL	Winter league activity
IDEA	Concept
RUSE	Dodge
ERIE	Ashtabula's lake
INOR	"Are you ___ out?"
SIDEISSUE	Incidental matter
IBM	Company that programmed Deep Blue
TREBLE	Clef designation
ETRE	To be, in Brest
BERCEUSE	Cradlesong
SILOED	Stored, as fodder
SAKS	Competitor of Bloomingdale's
MATT	Katie's "Today" co-host
NED	Composer Rorem
ETONS	Waist-length jackets
