OBSTACLE	Something to be negotiated
OOFS	Comic book exclamations
BNAI	Sons of, in Hebrew
SPUN	Like yarn
TAX	See 18-Across
ATHEEL	Close behind
CRAVATS	Attire worn with frock coats
LOWER	Dim
ELK	Black ___ (Lakota visionary)
BLEST	"___ Be the Tie That Binds" (Christian hymn)
BARABBAS	1961 Anthony Quinn title role
LIT	Stewed
ELIWALLACH	Hollywood star whose memoir was titled "The Good, the Bad, and Me"
STEAMTABLE	Caterer's setup for a hot buffet
TORRE	1971 N.L. M.V.P. who was later twice A.L. Manager of the Year
ONPATROL	Looking for trouble?
SAILTO	Visit on an ocean cruise, say
SAHEL	Savanna region stretching from Senegal to Chad
FAUXHAWK	Hairstyle popularized by David Beckham
ARTIER	Affected to a greater degree
SIN	With 4-Down, smoker's fee
EVE	Walpurgis Night vis-à-vis May Day
CHA	Syllable repeated after "hot"
CHIANG	Leader with Roosevelt and Churchill at the Cairo Conference, 1943
WAR	___ Emblem (2002 Kentucky Derby winner)
BEARTHEBLAME	Own responsibility
BERTOLT	Dramatist Brecht
TOLEDOS	Old Spanish swords
LETTUCE	Head on a plate?
SMELT	Refine
SOUPDUJOUR	Restaurant special
MONTESSORI	Education pioneer Maria
OILBELT	It has energy in reserve
DOOR	It may be cracked open
DRU	"She Wore a Yellow Ribbon" co-star, 1949
SELA	Emmy award-winning Ward
EYELID	Something most fish lack
ATLAS	World view?
SSA	Org. that's got your number?
RUNTS	Little ones
SPITTAKE	Surprise shower?
YEN	Aching
STABS	Lances
UPTOP	Having a good vantage point
EDGE	Vantage
ENNOBLE	Honor
UCLA	Peace Nobelist Ralph Bunche's alma mater
DELILLO	"Falling Man" novelist Don
LHASA	Setting for Martin Scorsese's "Kundun"
NICHE	Métier
ICEAGE	Wintry stretch
JUSTTHISONCE	"I won't ask again"
JOSEF	___ K., Kafka's protagonist in "The Trial"
OFALL	Without exception
OJS	Harvey Wallbanger mixers, briefly
TAD	"Win a Date With ___ Hamilton!" (2004 film)
FOE	Moriarty, to Holmes
PSI	Scuba tank meas.
PETE	Jim's partner on "Adam 12"
STIR	Ferment
ISTS	Cult followers?
SOONAS	When, colloquially
NET	Have left when all is said and done
CABARETS	Subjects of some Toulouse-Lautrec paintings
CIS	Post-cold war inits.
REP	Stock company, for short
EUREKA	Electrolux brand
ILLGETIT	Ringing response?
FRITE	Pomme ___
SLEEPERS	Some yo-yo tricks
