CONDEMN	Denounce
COAL	Kentucky resource
ONCE	First word of "The Raven"
NTHS	Unspecified degrees
DARTED	Moved like a minnow
ERI	Verdi's "___ tu"
MISSY	Young girl
NOTA	"___ chance!"
STELLAS	Painters Frank and Joseph
SWATHS	What lawn mowers make
TISHA	___ B'Av, Jewish day of fasting
EPS	Some records, for short
LETMEIN	"Open up!"
LOOM	Hang over
AURI	Hearing: Prefix
STYX	Milton called it "The flood of deadly hate"
ONTARIO	Its official bird is the great northern loon
WIPEOUT	Nasty fall
ACHRISTMASSTORY	1983 Jean Shepherd film memoir
MISSISSIPPI	It runs through the middle of the 66-Across
LEST	Out of concern that
SAITH	Doth speak
MMIX	Year of the swine flu epidemic
EDY	Last name in ice cream
DORMANT	Inactive
SHADE	Summer refuge
DRILLER	Dentist, at times
MISDO	Botch
MICAH	Prophet who prophesied that the Savior would come from Bethlehem
IPANA	Classic toothpaste brand
SONNY	One of the Corleones
ASS	Pompous sort
ANA	Literary olio
RICOH	Canon competitor
CAPRI	Italian tourist destination
ORION	Whom Artemis loved and unwittingly killed
HYENA	Coyote relative
IPO	Wall St. happening
RANI	Hindu noble
AIL	Not be well
BINARY	Kind of code
BAL	French court event
CAN	Preserve
MIASMAL	Noxious
MIX	This and that
PIE	Slapstick prop
ANNEAL	Temper, as metal
EDASNER	"Rich Man, Poor Man" Emmy winner
SILL	Place for a pot
RON	Silver of the silver screen
HAYDN	"The Palindrome" Symphony composer
QIX	Popular 1980s arcade game based on simple geometry
QUOTED	In Bartlett's, e.g.
EDINA	Minnesota city where part of "Fargo" was filmed
DISOWN	Cast off
ATEUP	Really enjoyed
EMILE	Actor Hirsch of "Into the Wild"
ORI	"Either you ___ ..."
OPNIN	"Another ___, Another Show" ("Kiss Me, Kate" song)
SAKS	Bergdorf competitor
STAG	One way to go to a party
ARUN	Make ___ for it
KARA	___ Zor-El, Supergirl's birth name
MOPUP	Finish cleaning, say
UOMO	L'___ Vogue, Italian fashion magazine
SHIA	Branch of Islam
HIED	Got a move on
INSO	"___ doing ..."
ATTN	Memo heading
TRANSITIONPOINT	Segue
SOL	G
PDA	iPhone, e.g., briefly
AUREOLE	Halo
MIDWEST	What the circled parts of this puzzle comprise
GNARLED	Knobby
ONANDON	At great length
