COHORTS	Accomplices
CAD	Rude dude
ORR	Legend on the ice
HMO	Plan for patients, for short
OOP	Alley-___
RIP	It may be in stitches
TRIMMED	Neat, as a beard
SENORA	Málaga missus
ORO	Andean treasure
OTT	Polo Grounds standout
RUHR	Duisburg's locale
ONEON	Hit-and-run situation?
IZE	Suffix with sermon
ISOLDE	Tryster with Tristan
ZUNI	Pueblo dweller
EBEN	Irving Bacheller's "___ Holden"
WHIFF	Slightest trace
WHIST	Trick-taking game
HASTO	Can't help but
INSANE	Bananas
FOULED	Hit, in basketball
FIELDS	"Jingle Bells" sleighing locales
ARMOIRE	Wardrobe
TUNASUB	Popular fish sandwich
ABLER	More fit
HANOI	"Christmas bombing" target
DROPPINGTHEBONE	Klutzy dog's habit?
GOER	Suffix with theater
ISSUE	Matter of debate
MOO	Farm call
ROLLINGSTALL	Bathroom on wheels?
GARETH	Round Table knight
SHAR	___-Pei (dog)
SPEAR	Caveman's tool
HORDE	Multitude
ANODE	Nicad's cadmium component
REDID	Fixed up
MRED	TV palomino
DEMI	Patrick's "Ghost" co-star
NED	Homer Simpson's next-door neighbor
ATONED	Paid the penalty
PONEBEARER	One holding corn bread?
BENITO	Melville's "___ Cereno"
RUR	Automaton-themed play of 1921
REAIR	Run in syndication, maybe
AAH	"This is so-o-o relaxing!"
ILET	"Why should ___ you?"
EDS	O'Neill and others
ERODED	Like many shorelines
MUS	Where to see a mummy: Abbr.
STRONGMAN	Sideshow attraction
ALETA	Prince Valiant's wife
THE	Café alternative
ARBOR	Shady plot
ADDIN	Include
HEIRTOTHETHRALL	Next in line for slavery?
HERO	Savior
EDENS	Idyllic settings
OBAD	Book between Amos and Jonah: Abbr.
TIROS	NASA weather satellite
ALLA	Teatro ___ Scala
LULL	Put to sleep
LEAL	Faithful, to a Scot
REEDITED	Did a third draft of
TAR	Besmear
RBI	Credit for driving people home?: Abbr.
THEBLUE	What surprises can come out of
TARES	Wrapping weights
SEINE	Divider of Paris
OARS	Crew equipment
SNARL	Tieup
OLLA	Cantina cooker
ALLFORONEANDONEFORALL	Famous rallying cry … and a hint to eight other answers in this puzzle
ALIT	Touched down
LENO	Nightly monologue deliverer
LIEN	Property lawyer's concern
FARES	Airline posting
ANAS	Santa ___ (hot winds)
EPEE	Fencing piece
FAA	Skyway regulation grp.
ONLYIF	Not unless
LEIA	Starship princess
SING	Do a number
SAPAN	East Indian heartwood
INERTIA	It keeps the ball rolling
TIC	Certain X or O
INESSE	Real
ATNO	Periodic table stat.
NAM	"Apocalypse Now" setting
REALLOTS	Doles out differently
LAFFS	Comedy club responses
OCTAL	In base 8
THEME	Variation preceder
STREW	Sprinkle
TONEINTHESADDLE	Get a workout via horseback riding?
HEE	Snicker syllable
DOH	Play-___
DIOR	Last name in fashion
YACHT	Spinnaker site
SCENE	Flashback, e.g.
NOI	"___ will not!"
SIFTER	Baker's gadget
SOMEHOW	In a way
MAE	Actress Busch
MAIMED	Injured
ARCADE	Where a token may be taken
EMERGE	Surface
SOEUR	Sibling of un frère
UNCLIP	Detach, as a lapel mike
REALM	Sphere
HONEOFFAME	Renowned razor sharpener?
NOAH	Flood survivor
EARTHS	Brownish pigments
ARMIES	Multitudes
ICIER	Not nearly as emotional
EROSE	Irregularly notched
NEA	Instructors' org.
ALWAY	E'er
ROAM	Live nomadically
SLEW	Multitude
ICECREAMCALL	Visit to Ben & Jerry's?
AGAR	Biology lab supply
MANE	Wildebeest feature
LITE	Beer option
ARE	Live
MARIO	Recurring Nintendo character
GALLWITHTHEWIND	Annoy people by blowing a fan on them?
TEN	Top mark
ENE	Map dir.
WOE	Doomsayer's cry
IRT	N.Y.C.'s first subway line
NEE	Originally
DEN	Cave
EDGES	Cutting parts
ANIMATE	Perk up
HONOREE	Veteran, on Veteran's Day
DEERE	Mower maker
REP	Weightlifter's unit
YEN	It's made in Japan
SWEETEN	Make more attractive
