GASSY	Feeling bloated
GABE	Comic Kaplan
ATRA	Gillette razor
SOAR	Go out of sight, as gas prices
SNIPESAT	Criticizes, perhaps unfairly
YEN	Craving
SMEAR	Eyeliner boo-boo
SOAP	Ivory or Coast
MUSIC	"If ___ be the food of love, play on": Shak.
ETHER	Onetime dental anesthetic
ARE	"___ you sleeping?"
REDHEAD	Fiery-tempered sort, they say
BRO	"Don't tase me, ___!"
BLOWSAFUSE	Loses it
RAND	Ayn who wrote "Atlas Shrugged"
OBEY	Follow orders
ATONE	Make amends (for)
OUTRE	Bizarre
LAB	Experiment site
BRAINWASHED	Psychologically manipulated
WOUND	Cause for stitches
ONE	I
EARP	Lawman Wyatt
OPIE	"The Andy Griffith Show" boy
HOWDY	Cowboy's greeting
ORB	Globe
EDU	End of a student's e-mail address
DIN	Racket
CRIERS	Town shouters
ICE	"Rocks"
CASINO	Place to play twenty-one
CUEIN	Make aware
ATALLCOSTS	No matter what
ODOR	Stench
CABALA	Jewish mystical doctrine
LADEN	Weighed down
ARID	Desertlike
CUTANDDRIED	Formulaic
CHOO	When repeated, a toy train
RAD	Way cool
ISPS	AOL and others, in brief
FAR	"Long ago and ___ away ..."
HEAT	Furnace output
OAS	Western treaty grp.
AUDI	Car with a logo of four rings
ASKSALOT	Demands much (of)
OIL	Lubricate
HARDPRESSED	Put-upon
HANDBAG	Pocketbook
ANT	Termite look-alike
RIDOF	Free from
ELO	"Xanadu" grp.
ONLOAN	Out, as a library book
OAR	Rower's need
SILKEN	Smooth and lustrous
CANTED	At an angle
ELIDE	Omit in pronunciation
DINES	Eats by candlelight, say
DOS	Galas
FJORD	Norwegian coastal feature
FLAX	Source of linen
JAPE	Mock
LIMO	Car that comes with a driver
MDSE	Retailer's goods: Abbr.
AIDA	Opera set along the Nile
IDLE	Unemployed
DEEP	Bottomless
ADDS	Tosses in
LAS	___ Vegas
BLINDFOLDED	Like players in pin-the-tail-on-the-donkey
LIE	"This puzzle is really, really hard," e.g.
ODS	Takes too much, for short
APT	Likely
AIDES	Helpers
DOLED	Rationed (out)
XES	Crosses out
GEESE	Silly birds
STEPS	Escalator parts
