SELAWARD	"Steele Justice" actress
SACS	Alveoli
EGAD	"Holy Toledo!"
LITIGATES	Contests at the bar?
ATA	___ loss
WALES	Where the Wye River rises
ATIT	Bickering
RONALD	First name in clowns
DRAGOUT	Prolong
OHARAS	"From the Terrace" author and family
OVERTHROW	Make a baseball boo-boo
HOLE	Flag location
ALA	___ mort (dispirited)
RATIO	I.Q., e.g.
ARENA	"The Lady or the Tiger?" setting
SEDER	When haroseth is eaten
AGITATOR	Firebrand
VOLARE	Travel by aeroplano
CATALINA	Avalon's locale
ELATED	Flying high
SDI	Arms race abbr.
ETAGERE	Display case
EFREM	Conductor Kurtz
INE	Like Handel's Suite No. 5
GAS	Blather
ASARULE	Most of the time
LOFT	Hit high into the air
SOAR	Take off
SMATTER	Speak with spotty knowledge
SPAS	Luxurious resorts
STAR	General acquisition
PINE	Emulate Echo
DURHAM	Duke University locale
ARNE	"Blow, Blow, Thou Winter Wind" composer
TITANS	Powerhouses
NOLI	Do not, in old Rome
SITSTIGHT	Waits and sees
TERRAPIN	Diamondback
PATTYCAKE	Rhyme that's done by hand?
IGET	Belinda Carlisle's "___ Weak"
NUDE	Hosiery shade
ANEROID	Atmospheric pressure measurer
DEBUG	Correct code
MONTAGU	"Growing Young" author Ashley
RESULTED	Ended
DONIMUS	Popular radio personality
WETTED	Hosed down
LISBON	Capital on the Tagus estuary
NATANT	Floating
ETTE	Kin of -ule
MINE	Destroyer destroyer
MITES	Backbiters
IRENE	"The Woman," to Sherlock
NEARS	Gets in range of
TUNA	Kind of steak
ARY	Inflation ender
ALARM	It may be false
IRE	Incense
DIGITAL	Like some cameras nowadays
DACE	Bait fish
ALBA	Goya's "The Duchess of ___"
CUD	Something to chew over
USED	Worn
DYNE	Centimeter-gram-second unit
TEABAG	Gunpowder holder
BIT	Shtick
MALAGASY	___ Republic
GOP	Elephant group
ENRICH	Better
UNBROKEN	Complete
SESTET	Any stanza in Burns's "To a Mouse"
STAMPEDE	Steer out of control?
