KLATCH	Coffee get-together
KEEPOUT	Unwelcome sign?
LESSTAR	Cigarette ad claim
AFT	Back on board
TAFFY	It's pulled at a carnival
CLUE	This, for example
HOLEINO	Stroke of excellence
NABOBS	V.I.P.'s
NUMBERO	Most people look out for it
APIA	Samoan capital
BANGS	Mamie's hairdo
OTC	Stock page heading: Abbr.
BRIGADE	Fighting force
SENATOR	Forum participant
BEEFALO	Low-fat meat
BROTHS	Servings for the sick
UPATREE	Stumped
EGRESS	Way out
RESTFUL	Relaxing
MINCING	Affectedly dainty
OPS	Photo ___
FEEDBAG	It's strapped around the head
DNA	Modern means of identification
GAR	Predatory fish
TOTSY	Hotsy-___
SCIENCE	It "is nothing but perception," wrote Plato
INE	Tchaikovsky's Symphony No. 5 ___ minor
SPATE	Outpouring
PANAMAS	Tropical toppers
HUAC	Communist-hunting grp. of the 50's
SNARE	Setup
SEEYA	"Ta-ta!"
ELIOT	"The Sacred Wood" writer
ADOS	Stirs
STRIKEO	First call, perhaps
KNT	Old Eng. title
OLINERS	Zingers
IRR	Letters on seconds
ENE	Suffix with acetyl
IRA	$$$ for old age
TWENTYO	Gambling game
TWANGS	Sounds in archery
WASTREL	Spendthrift
EATHERE	Diner sign
OHITTER	Pitcher's triumph
OORMORE	Some
OOCLOCK	Wee hour
OCTUPLE	Like an amazing return on an investment
REENTER	Type in again
ESSAYS	Features of The New York Review of Books
WAAC	W.W. II org.
AHOOT	Not give ___
ONS	Switch positions
ACES	Top parts of suits
ASTEP	___ in the right direction
PLEAD	Make a case
INC	Business magazine
ESTES	Opera singer Simon ___
EPEES	They're guarded in competition
NTH	Mathematician's ordinal
LETSLIP	Tell accidentally
ESTE	Italian art patron
INRI	Christian inscription
UNA	Overseas article
GREYEST	Most dreary
YIN	Negative side
ONEMPTY	Risky way to run
MOS	Criminal patterns, for short
SERIATE	Arranged in order
CREOLES	Some West Indians
LENDER	Borrower's quest
KISSER	Mug
