OTTAWAS	Some Ontario natives
OPRAH	Popular afternoon host
THEDA	1970's TV courtroom drama
TAPIR	Animal with a snout
ARTEMIS	Apollo's twin
WAITER	Person who reports to a captain
AOL	Part of many e-mail addresses
SHEAF	Bundle
UBOAT	Tin can's target
USHEROUT	Say goodbye to
BEA	"C'mon, ___ pal!"
OILMEN	Some Texan V.I.P.'s
ANTIS	Nay sayers
TEEM	Overflow
OPTIMAL	Best
OBE	U.K. award
PEDAL	Bike
TASTER	Vintner's employee
INTONES	Chants
MEAN	Stand for
ARTE	El Prado work
LYES	Strong cleaners
PHARAOH	Exodus figure
SEINE	Île de la Cité locale
BEANERY	Hardly a four-star restaurant
REPTILE	Cold-blooded one
HALTEREDSTATE	What a show horse may be in?
REAGAN	National airport name
ADIET	On ___ (trying to lose)
AGE	Develop wrinkles, say
GONGS	Pagoda features
MIME	Charade
ATONES	Deals with sin
HARMEDFORCES	Weakened military units?
DEMUR	Express doubts
COLOR	Modern newspaper feature
ALLEN	Kind of wrench
LONGS	Itches
IRE	Tee off
NOON	Twelve
AGO	Long ___
ALAMEDA	City on San Francisco Bay
REHAB	Place to kick something?
HALLEYCATS	Astronomer Edmund's felines?
ANTED	Paid (up)
BERRY	Holly feature
LEGS	Staying power
LAPP	Nordland resident
ESAU	"I saw ___ kissing Kate ..." (tongue twister)
GINGERHALE	Nathan's spicy sister?
MOGUL	High-muck-a-muck
ORACH	Spinachlike plant
CLANG	Be jarring
CHOIR	Group in a loft
GEMS	Paragons
SANE	Commonsensical
ASI	Do-say connection
BURSTOFHANGER	Drapery disaster?
BOTANIC	Brooklyn ___ Garden
FOTOMAT	Developing business?
RAPSTAR	Eminem, e.g.
LTR	Env. contents
PANDORA	Lady with a box
DEVIL	Rascal
ROOM	Compartment
SMALLER	Response in a guessing game
LETAT	Free to attack
PUGET	Sound of the Northwest
CPA	Balancing pro
PAT	Excessively glib
AREARUG	Foyer item
TIES	Binds
SAP	Juice
SPEEDY	Quick
EVA	Señora Perón
HARBORDAY	When to celebrate quays and piers?
BALSA	Raft material
YUBAN	Coffee brand
STY	Farm shelter
ERRING	Fumbling
EDICT	Decree
RADAR	What stealth may avoid
GALA	Many a fund-raiser
TEAM	Suns or Stars
APU	Kwik-E-Mart clerk on "The Simpsons"
TACKS	Flat tire causes
KNIT	Join
STLO	Normandy town
DAHLIAS	Flowers named for a Swedish botanist
SERGE	Suit fabric
ALAS	"Oh, my!"
SHOER	Smith, of a sort
BLATANT	Barefaced
LISPS	Speech difficulties
IDA	Mrs. William McKinley
CLEARSTHEHAIR	Shampoos?
ADIDAS	Reebok rival
EMERALDS	Colombia is their largest producer
HERON	Shore bird
TIL	TV's "Shop ___ You Drop"
CALM	Good trait to have in a crisis
MATTHEW	Whence the phrase "Blessed are the poor in spirit"
ARDUA	Per ___ ad astra (motto of the Royal Canadian Air Force)
OMENS	Signs
ASTO	Anent
ASININE	Dopey
TREAT	October 31 option
TOECAP	Boot part
GIG	One-horse carriage
PEER	Juror
PANOUT	Prove successful
PCS	Modern office staples
CHIMER	Bellman
TOBED	"And so ___"
BRAVO	"Good job!"
HARROWSHIRTS	Attire at a British boarding school?
HOHOS	Yuletide sounds
WINOS	Lushes
RENTA	___-Wreck
TREAD	Escalator part
STEPS	Escalator parts
WRITER	Dodge or Nash
WHOS	"___ next?"
RANT	Talk like crazy?
ISLE	Bermuda, e.g.
AEON	Many millennia
ECCE	"___ Homo" (Titian painting)
ANI	Singer DiFranco
INERT	Unmoving
HASHCANSCHOOL	Institute for short-order cooks?
NET	Safety measure
OLE	"Yay!"
NOMINEE	Party favorite
OPP	Versus: Abbr.
ONLEAVE	Taking time off
COULD	Possibly will
OPENTAP	Source of running water
STEWPOT	Olla
ESTES	Basso Simon ___
SPREADS	Peanut butter and jelly
