THAWS	Defrosts
TVA	Dam-building agcy.
HIS	___ Master's Voice
AND	"Go on …"
WCFIELDS	"The Bank Dick" actor
SIGN	Speak manually
CAT	Jazz player
CAJOLE	Sweet-talk
AWKWARD	Klutzy
TEL	Rolodex no.
ASKED	Set as a price
AARON	Baseball record-setter of 4/8/74
SCOUTS	Expert knot tiers
KEYBOARDIST	Person of letters?
ELAL	Flier to Ben-Gurion
DALE	Chip's cartoon chum
VINCI	Leonardo da ___
AWE	Leave speechless
ACELA	Amtrak's "bullet train"
ASDFGHJKL	Home for an 11-Down
HTS	Elevs.
ROYAL	Castle dweller
INTOW	Following behind
DOUBLE	Stunt man, perhaps
DISARM	Render harmless
ACHE	Need Bengay
ACCORD	Honda model
COOPER	Rock's Alice ___
HUNTANDPECK	Emulate a rookie 11-Down
SLAMINTO	Hit head-on
MART	Place to trade
COULD	Was able to
DOOM	Banish to Hades
ERAS	Time line divisions
SAPS	Gullible sorts
PALATE	Winetaster's asset
SEESAW	Plaything for two
CONDOR	Andean flier
RUBENS	Flemish painter
DRAB	Dull as dishwater
BEAV	Wally's sitcom bro
RAE	Actress ___ Dawn Chong
OPTSOUT	Withdraws
TAME	Easy to manage
TREADLE	Potter's pedal
ANISETTE	Licorice-flavored cordial
REA	"The Crying Game" actor
MBAS	C.E.O.'s degs.
SUBGOAL	Intermediate target
MANIAS	Pokémon and pet rocks, e.g.
DRNO	Early Bond foe
ORACLE	Delphic prophet
EMUS	Outback avians
SERUMS	Medical fluids
VISTA	It's grand at the Grand Canyon
DRONEBEE	Hive male
OTHER	Catchall category
EEC	Common Market inits.
STEW	Dish served with a big spoon
EXPATS	Nationals living abroad, informally
ELUL	End of the Jewish calendar
XENA	Lucy Lawless role
GRETE	Marathoner Waitz
THUD	Fall heavily
LEECH	Bloodletter's need
TOUCHTYPE	Emulate a veteran 11-Down
THE	Everyday article
YUM	"Deee-lish!"
PRO	What a star athlete may turn
ENS	U.S.N.A. grad.
UNCLE	"I give!"
HAM	Overacting actor
UTURN	One-eighty
LAKER	Magic Johnson was one
ELS	Golfer Ernie
DEMOS	Mailings to record execs
