WARD	City district
WADER	Stork or crane
AGANA	Guam's capital, old-style
RANDI	The Amazing ___ (noted magician)
DRESSAGE	Equestrian event
VIDA	Ricky Martin's "Livin' La ___ Loca"
VALANCE	Liberty ___ (Lee Marvin role)
ICING	It's sweet on sweets
DAVIT	Lifeboat hoist
ADISH	"___ fit for a king"
RECUSE	Disqualify
RAG	Hardly the most prestigious paper
ERI	"___ tu che macchiavi" (Verdi lyric)
CENTRIC	Suffix with helio- or ethno-
UNTIE	Free
SAHL	Comic Mort
ESE	Lubbock-to-Abilene dir.
DRAW	End even
DRASTIC	For emergencies only
RASTA	Devotee of 99-Down
ASTEP	Take ___ in the right direction
WHERE	Invitation heading
AGAR	Lab gel
ACAD	Mil. school
ARENAS	Places for matches
RASH	Foolhardy
DANE	Great ___
LIVINGINTHEPASTE	Like flies caught by flypaper?
NEED	Essential
PENTEL	Big name in writing implements
ENDS	Parts cut off
ANISE	Ouzo flavoring
TIL	1980's pop group ___ Tuesday
ESTER	Aromatic compound
RAISINGTHEBARE	Bringing up young nudists?
ICH	"___ dien" (Prince of Wales's motto)
BAKE	Sit in the sun
ALI	2001 biopic
ONTAPE	Not live
OSHA	Fed. workplace monitor
ACC	U.S. C. : Pac 10 :: Duke : ___
DALI	"The Hallucinogenic Toreador" painter
ASTI	City on the Tanaro River
ATTN	Bus. envelope notation
SPAGHETTI	Dish served with sauce
STNS	Places by the tracks: Abbr.
POOH	"'Tain't nothin'!"
ABDOMINAL	Like some muscles
THANK	Acknowledge
TONG	Lift, as ice cubes
IMITATE	Ape
KICKTHECANE	Inefficient way to harvest sugar?
KIA	Sephia maker
AVUNCULAR	Friendly, as an older relative, say
NINA	Sister ship of 104-Down
EATS	Truck stop sign
TOBE	Mother-___
HOMME	Man of Cannes
MORPHS	Transforms on screen
ITAL	Romance lang.
VIA	By
NOD	Wordless response
DANIO	Pearl ___ (aquarium fish)
DICE	Blocks in Atlantic City
SCAN	Word with price or brain
SPIRAL	Tailspin
CELEBES	___ Sea, south of the Philippines
HUNT	Forest doings
HEIR	Receiving party?
SHOPPINGTRIPE	Worthless coupons?
PERK	Benefit
PRE	Cousin of ante-
IRE	Burning feeling
BUENAS	"___ noches"
BOHR	Noted Los Alamos scientist
UNE	Rimbaud's "___ saison en enfer"
MERCK	Pharmaceutical giant
APRIL	Something that begins foolishly?
SONIC	Part of SST
STOMA	Zoological opening
SOIREE	Evening event
SLAW	Side dish
OUSE	Yorkshire river
THERESTHERUBE	Cry from a con man spotting an easy mark?
SHAH	Asian autocrat of old
BITE	Fisherman's wish
EPEE	Olympics sticker
LUNK	Dullard
DIES	Passes on
DYES	Gray removers
ISM	Doctrine
ABHOR	Loathe
LIP	Mouth piece
ASA	Jehoshaphat's father
BOYS	Sign on a grade school door
BOUNCY	Full of energy
OMIT	Drop
GLEAM	Shine
GERE	"Chicago" co-star, 2002
IATE	"Must've been something ___"
ITERATES	Keeps saying
WELCOMEMATE	Outback greeting?
CLEANUP	Batting position
AGAINST	Next to
TOV	"Mazel ___!"
SHADETREE	Elm, e.g.
DAMPEST	Most moist
EGG	One in a dozen
LUIS	Author Jorge ___ Borges
GORP	Backpack snack
PALO	___ Alto
AGE	Gray
ABSENT	Missing
ALDER	Tree with catkins
BIOTA	Regional life
SLATS	Blind parts
HAVEAFIRMGRIPE	Consider blowing the whistle at work?
HAILE	Emperor ___ Selassie I
FEWER	A smaller number
IGIVE	"Uncle"
RUNES	Mysterious characters
ISERE	Ship that brought the Statue of Liberty to the U.S.
PINTA	Sister ship of 48-Down
ENTER	Calculator key
LILAC	Pastel shade
TAI	___ chi
THIN	Weak
LEGUP	Boost
ASIN	Q ___ queen
DOANYTHINGTOWINE	Bartender's complete guide to spritzers?
TWO	A doubleheader
GOO	Sticky stuff
TNN	Channel owned by Viacom
TENT	One up all night at camp?
ETTU	Disillusioned query
WILSON	Mr. of the comics
EVES	Times of anticipation
ERTE	Art Deco signature
RASP	Grating sound
ONETON	Small bridge limit, maybe
REST	Balance
SEAR	Brand
