MAAS	Peter who wrote "Underboss"
MODIFY	Reshape
ANITRA	Dancer in a suite
AMOSOZ	"A Tale of Love and Darkness" author, 2003
SENATOR	"Damn Yankees" chorister
SPANG	Squarely
SLATY	Dull blue-gray
PALE	Cadaverous
ARIADNE	Strauss heroine from classical myth
NUCLEI	Cores
GEE	"Oh, I don't know"
MALI	Landlocked Muslim land
MEFIRST	Selfish
ATANCHOR	Not likely to go with the flow
LOSEHOPE	Despair
INTREPID	Doughty
ONME	"Down ___" (1967 Janis Joplin song)
LARUE	Cheyenne Kid portrayer
ETON	Where Aldous Huxley taught George Orwell
DION	"Little Diane" singer, 1962
ALICE	___ blue, color named after a first daughter
FAST	Like some friends
ITSASTEAL	"That's really cheap!"
SHOESHINE	Low finish?
NINER	West Coast N.F.L.'er
NANCYDREW	"The Bungalow Mystery" solver
FROTHY	Insubstantial
DEMARCHE	Appeal from a diplomat
MOORE	English sculptor Henry
YAZOO	Mississippi river named by La Salle
UNIONSHOP	Local operation?
ULM	1805 Napoleonic victory site
REGLE	En ___ (by the rules: Fr.)
GUEST	Partygoer
OCTOPI	Well-armed predators?
SET	Sink
SCORCHER	Hard-hit line drive
ELDORADO	The first complete navigation of the Amazon was in search of this
TIAMARIA	Liqueur reputedly named for a noblewoman's chambermaid
SUM	Base of a column
WRY	Lopsided
WEE	Baby
RED	Flushed
CLICHE	As different as night and day, e.g.
CLATTER	Racket
LEEDS	The Who's "Live at ___," 1970 double-platinum album
LUCIFER	"Doctor Faustus" character
SALABLE	Ready to move
ODALISQUE	Harem slave
QIGONG	Chinese meditative practice
RAFTS	A slew
FLYROD	Casting option
TETRAD	Four-note chord
STORMY	Not at all fair
ROMANTIC	Don Quixote type
PELLET	Single shot
PEALE	Artist Rembrandt
CRATE	Flivver
GIVEWAYTO	Reluctantly accept
VILE	Flagitious
HART	See 55-Across
SOFIA	World capital at the foot of Mount Vitosha
SKA	Music genre of the English Beat and the Specials
BRRR	Remark from a draft dodger?
EDIE	With 52-Across, lead female role in TV's "Peter Gunn"
KNELL	Dead ringer?
LOAM	Wall-plastering material
ROAR	Hubbub
AGREE	Harmonize
EDDY	It may be found near a drain
