ADDSTO	Enlarges
ACTSOFGOD	Floods and such
DOORFRAME	Lintel locale
DATAFILES	Hackers' targets
SLA	Kidnappers in 1974 news: Abbr.
TELLER	See 54-Down
ORSER	Skater Brian
SATCHELS	Purse alternatives
SPLITUP	Separated
ATABOIL	Very hot
TOLL	Going rate?
CLAY	It might crack after getting fired
HEL	Daughter of Loki
EMAIL	In-box input
LYNDA	Actress Carter
SIDED	Went along (with)
COALER	Certain fuel carrier
PTOLEMYI	Ancient dynasty founder
TOTALS	Comes to
LALALAND	Space cadet's place
SRA	Sp. title
LEGIBLY	Good way to write
GASP	Get a sudden inspiration?
IDE	Chemical ending
OFF	Broadway opening?
ERATO	Poet's inspiration
GLAD	Kind of hand
GRAPPA	Italian brandy
FRIAR	Frock wearer
ALLEGE	Maintain
SUITOR	One looking for a hand
TIDE	Sweeping force
OCA	Mozart's "L'___ del Cairo"
GALL	Brass
APPLICATOR	It may help you make up
ATTN	Envelope abbr.
THECRITIC	Animated series starring Jon Lovitz
ONTHERISE	Increasing
RESONATED	Rang
OMELET	Spanish ___
ERE	"... ___ he drove out of sight"
DAPHNE	Strauss opera
DESERTROSE	Sting hit of 2000
REVENGE	Crime motive
OVERSEE	Direct
SARI	Loose garment
PETS	Guinea pigs, maybe
GENEVA	1864 convention site
MACHO	Hardly wimpy
MONGOL	Golden Horde member
URGE	Press
USAGE	English teacher's concern
RELAX	"Easy, boy"
GASSY	Boastful
VERSO	Left-hand page
SAILS	Moves effortlessly
REN	Cartoon canine
SEA	Irish ___
IBERIAN	Portuguese, e.g.
IRAN	Carpet place
BANK	With 5-Down, one seen in a cage
IRA	Glass of public radio
ALSORANS	Unsuccessful people
ORA	Anglo-Saxon money
IGOTIT	Catch phrase?
OUI	Garçon's reply
GASRANGE	Pilot's place
LOUISE	One of TV's Jeffersons
EXYANKEE	Don Mattingly, e.g.
SLICED	Didn't drive well
