JUSTABIT	Slightly
JOBLOT	Odds and ends, in business
UNIONS	Management concerns
SPRITE	Old British roadster
TADS	Kids
ARC	Bend
BOASTED	Vaunted
ILLER	Not so well
TELLATHINGORTWO	Scold
HIPPOS	River horses
HOUSTON	Astronauts' contact
INN	Weekend getaway site
PLEBE	Academy attendee
PIVOTMAN	Court position
ONEONONE	Confrontation
SENTAWAY	Dismissed
ONPAROLE	Newly out?
ONLINE	Like many library catalogues
BIRDCALL	Quack, for one
UNEVEN	Rugged
LOIS	Perry underling
SELLS	False come-ons
LIKENS	Opposite of contrasts
BOOT	Bounce
ONT	Que. neighbor
STRAIT	Narrow passage
SSNS	Some ID's
ETNA	Valle del Bove locale
TSETSE	Fly of the genus Glossina
TATA	"Later"
TKO	Ref's call
MOW	Cut
ANDTHEN	"Tell me more"
TRANCE	Séance phenomenon
CANA	Scene of Jesus' first miracle
COED	Mixed
PACTS	Deals
PLACABLE	Forgiving
AESOPIAN	Moralistic
CISCOKID	Role for which Warner Baxter won a 1930 Oscar
RIN	Thousandth of a yen
MONEY	"The more ___ the less virtue": Thoreau
MENS	Department store department
LEIA	Spunky princess
BANSHEE	Wailer
BEADIER	Smaller and more glittering
HANKERS	Itches
ASS	Fool
ENG	School subj.
ANDREW	One of the Windsors
RERUNS	Cost-cutting network strategy
EVINCE	Show
WETTED	Hosed
COCO	"Only When I Laugh" actor James
OPINE	Reckon
ACORNS	Stored food
REHAB	Old building made new again
EVE	Party time
APOP	Phrase often following dollar amounts
DEREK	1992 Literature Nobelist Walcott
BRIT	Falklands war participant
BOAS	Scarves
BIKINI	Divided suit
NIA	Actress Long
THECOUNT	"Sesame Street" character
CDE	Alphabetical sequence
LAINIE	Singer Kazan
WARDANCE	Steps before battle?
ENDEAR	Evoke good feelings about
OBSESSED	Fanatical
