ATHEART	Intrinsically
ATTICA	Region of Greece containing the capital
TOAMAN	Without exception
HOBART	Tasmania's capital
ELL	Perpendicular wing
ABEL	Early shepherd
RATED	Like bonds and movies
TROWELS	Helps in planting
PAPAW	Purple-flowering tree
PEDRO	Director Almodóvar
ALOE	Sunscreen additive
PINS	They may be bowled over
ATT	Brief writer, in brief
WEBSITES	Net assets?
DEEPEN	Intensify
DISPERSAL	Riot police goal
ENTER	Key in
EDU	Part of a dean's address
PIPS	Deck spots
ERIE	Niagara River's source
NADA	Squat
TOOLBARS	Rows of buttons
SPATE	Sudden rush
ELITE	Superior group
INDIRA	___ Nehru Gandhi
TABLETOP	Setting setting
DONTBESTUPID	"That's patently ridiculous!"
EURO	100 cents
IMA	The Beatles' "___ Loser"
LEWAYRES	He played Dr. Kildare in 1930s-'40s films
YON	Over there
SUPE	Apartment manager, familiarly
SEA	Leviathan's home
CARB	Atkins diet no-no
BITING	Heavily satirical
DETOO	Artoo-___
AIRERS	TV networks, e.g.
ACLU	"Because Freedom Can't Protect Itself" org.
SECEDE	Break off
ANTIC	Caper
CASIO	Digital watch brand
LEN	Cariou of Broadway's "Sweeney Todd"
HECTOR	Victim of Achilles
HAT	Skimmer, e.g.
EBB	Lose intensity
ELMO	Muppet with a goldfish named Dorothy
LINDAHUNT	She won her Best Supporting Actress Oscar for playing a man
MAUI	Haleakala National Park setting
OLEN	Author Robert ___ Butler
TARS	Swabbies
RICOH	Big name in copiers
CABLE	Remote possibility?
CALLA	Lily variety
SOCIAL	Kind of butterfly
OVAL	Amphitheater shape
RIBISI	Giovanni of "Lost in Translation"
RAGA	Ravi Shankar performance
ITOR	"Believe ___ Not!"
BOOKTITLE	Spine feature
FLATBUSHAVENUE	It borders the Brooklyn Botanic Garden
FOODS	Nutritionists' topics
LYLES	Actor Waggoner and others
HAKES	Codlike fishes
ATONIC	Unstressed
OYL	Olive in the funny pages
ALADDIN	Wishful thinker of story
GOOGOODOLLS	Band with the 1998 #1 hit "Iris"
DIANE	Lane in Hollywood
SNL	Long-running NBC show, for short
ASK	Set the price at
ASPIC	Meat-stock jelly
SEINE	The Pont Neuf spans it
LEA	Where a flock flocks
ARK	300-cubit-long craft
HIDEANDSEEK	Activity for good-looking people?
DAWNS	Begins
KLINE	"In & Out" star, 1997
HIP	Femur terminus
ILIE	Netman Nastase
PICS	Snaps
TIS	Carol contraction
INHAND	Under control
STAT	"Now!"
ASS	Muttonhead
LAPISLAZULI	Rich blue stone
ACARD	Have ___ up one's sleeve
ZONERS	Members of some city commissions
STINTON	Hold back
SWIT	"M*A*S*H" co-star
TIME	Proctor's call
OVERWROTE	Replaced, on a hard drive
WIN	Carry the day
ICONIC	Easily identifiable
WITHAVENGEANCE	All out
NOTEPADS	List holders
GATS	G-men's weapons
ESE	Jargon ender
AID	Support
NANTES	Birthplace of Jules Verne
IMLATE	White Rabbit's lament
OASIS	Spring site
MERE	Piddling
MINIMUM	Low point
TEEN	College freshman, usually
RATTED	Turned informer
ASIF	"Like that'll ever happen!"
FRI	Night "The Wild Wild West" was shown in 1960s TV: Abbr.
FLO	Sitcom waitress
RATIO	Numerical comparison
DRAMA	Pulitzer category
APTIVA	I.B.M. computer of the 1990s
MONTES	Peaks, to Pedro
ATTEST	Bear witness
DOWSES	Seeks water, in a way
OTTER	Web-footed mammal
CLANS	Related groups
CLEAN	All washed up?
SEPTI	Three more than quadri-
SPOT	Dry cleaner's challenge
ICE	Sculpting medium
IPOD	It can carry a tune
COME	Turn up
ETES	Busy times on the French Riviera
TRIP	Junket
BOLOTIES	Western accessories
BILL	Platypus part
ONTO	Aboard
SOLD	Cry accompanied by a gavel rap
TNT	Wrecking ball alternative
POTATOFAMINE	Cause of Irish emigration in the 1840s-'50s
ALI	2001 biopic
MEA	___ culpa
IMPOLITE	Churlish
LIE	Creative story
OMELET	Dish often served folded over
DELTA	Mouth feature
OUTLIVES	Is around longer than
DESIRE	Yen
SALON	Business that makes the cut?
MIDEAST	Frequent Security Council topic
