HIPPY	Wide in the middle
HAHA	Result of a crack?
IDOL	Teen fave
POMP	Partner of circumstance
PRESTO	Chop-chop
YES	"That's a go"
ALIAS	Con's cover, of a sort
AFRO	Frizzy coif
LIEN	Legal claim
INTENT	Aim
ACCRUE	Add up
SHH	"Put a lid on it!"
CBS	"The eye" network
COFFEEBEAN	Brew bit
BRIAR	Kind of pipe
SORRY	"I take it back"
ADORE	Esteem to the extreme
FINCH	Bunting or sparrow
ORO	___ y Plata (Montana motto)
HOMESTRETCH	Plight of one under house arrest?
THESES	Masters' papers
FIR	Cone producer
ALPS	Skiing mecca
HONER	Sword sharpener
AFAR	Way off
ASCAP	Royalties-collecting org.
TIE	Reason for extra innings
INT	A.C.D. provides it
NURSERY	Hotbed for baby bloomers
RNS	T.L.C. specialists
RUNONSENTENCE	Lifer's beef?
RARA	___ avis
URIS	"Exodus" author
NIGHTSPOTS	Bistros
ERA	All alternative
NIXON	President with an enemies list
ARI	"Exodus" hero
TERI	Garr of "Mr. Mom"
SABER	Tool for a duel
ERIC	Rock's Clapton
RULE	Make a call
RIGG	Actress Diana
GEESE	Airborne honkers
SAXES	Jazz section
ERS	Hosp. receiving centers
SLUICE	Floodgate
PERU	Alpaca habitat
ASHEN	Pale
NRA	Org. that sticks to its guns?
ORLY	Major Air France terminus
YRS	Mos. and mos.
AIL	Have a bug
TERMINSURANCE	Get-out-of-jail-free card?
MIXING	Table-hopping, e.g.
ICEMAN	Block party?
ARMPIT	Ban site?
PASSAIC	Northeast New Jersey city
PRIMP	Preen
AIDES	Gofers
ISR	Country with a blue-and-white flag: Abbr.
RIPE	Pickable
XEBEC	Three-masted vessel
BENE	Cato's "well"
EKES	Manages, with "out"
MSGS	E-mail: Abbr.
SEVE	Golfer Ballesteros
GROW	Multiply
SSTS	Mach-makers: Abbr.
IDO	Response to a bailiff
TIMEKEEPERS	Inmates?
TIA	Acapulco aunt
EDS	Bradley and Harris
MET	Shea player
INANE	Dumb and then some
DIVOT	Golfer's hole
PSS	They go below signatures, for short
AGNES	Lady ___, Girl Guides founder
STEWS	Worries
