SOLAR	Kind of year
SKATE	Pass superficially (over)
ONTHELOOSE	Free
LISAKUDROW	Ditsy waitress player on "Mad About You"
AFEW	Rough estimate
REA	"Guilty," in a Latin legal phrase
TIREDOF	Fed up with
TELEPATHY	Exchange of thoughts?
IRE	Burn up
RAMSES	Name of 11 ancient kings
ETONS	Some collars
DIDO	"White Flag" singer, 2003
OVER	Recovered from
FELT	Believed
KNIFE	It can be scary to go under this
OPERATIVE	Key
OMEN	Sign
PARADIGMSHIFT	Transition to a heliocentric model of the universe, e.g.
ATSEA	How some ashes are scattered
MALEMODEL	GQ figure
THAW	Detente
SERE	Dried out
SYD	Late rocker Barrett
SNORT	Sound of contempt
EEK	Indication of feigned fright
SYNAPSES	They act on impulses
SELL	Auction
SWIG	Draft
LUBED	Like smooth-running engines
BEAK	Nut cracker, perhaps
DAWS	Black birds
TSA	Airport uniform abbr.
THUMBSDOWN	Negative sign
SINEQUANON	Requirement
ANDS	They make connections
GODEL	Mathematician famous for his incompleteness theorems
GMAN	Fed
ZITI	Pasta choice
ZINCOXIDE	Sunburn preventer
SHIN	One guarded in a soccer game
SOAR	Really take off
MORALHIGHGROUND	What you take when you do the right thing
HOAR	Winter coat?
REAR	Moon unit?
ASOK	Co-worker of Dilbert
ONMY	Start of the Boy Scout Oath
EAMES	Innovative chair designer
NEW	Innovative
SACS	Natural fluid containers
SEESTO	Minds
BARBQ	Backyard Jul. 4 event
BUG	Drive nuts
ZEROHOUR	Decision time
ZETAS	Some sisters
ONEO	___ cat
SUB	Fill-in
BREWS	Practices zymurgy
AWGEE	"Bummer"
ATRA	Toiletry brand introduced in 1977
WHEW	Nail-biter's cry
GALE	Loud outburst
XING	Shortened word on a yellow street sign
ADAR	It follows Shevat
ACHE	Long
THATSLIFE	"Win some, lose some"
LEM	Moon unit
SCONE	Historic capital of Scotland
SOP	Bribe
RELATEDTO	Concerning
OHWOW	"Outta sight!"
AWESOME	"Outta sight!"
PENNS	___ Landing (Philadelphia area)
