TARP	Shield from the elements
TORAHS	Sacred texts
ALEROS	Midsized Oldsmobiles
REVOLT	No longer take it
POESY	Yeats's work
ASAP	Express letters?
ACE	War hero
SUN	Overhead light?
ABC	Where "The Fugitive" aired in the 1960's
PEEVED	Out of sorts
MIAMI	1960's refugee haven
MACY	Department store founder
INTL	Part of many airport names: Abbr.
ASIA	Largest of seven
MOONED	Gave one's seat to, say
INNATE	Hard-wired
RARE	Of interest to collectors, say
ROSY	Promising
ALISTAIR	Cooke on TV
RADIOING	Sending an S O S, maybe
EYESORES	They're not pretty
OLEO	Promise, e.g.
CUBE	Die
HANSON	Group with the 1997 #1 hit "MMMBop"
HENS	Fowl
OLAY	Oil of ___
REVERENCESECTION	Where to shelve Bibles in the bookstore?
REWARDS	Fruits of one's labor
SIRS	Noblemen
SIDE	Pro or con
AROSE	Began
VINYLANALYSIS	Careful study of an old record collection?
LARK	Carefree outing
HOLYWAIVERS	Papal indulgences?
AVIV	Tel ___
IOTA	Minuscule amount
VIES	Struggles
ETA	Kennedy posting: Abbr.
TOO	Moreover
SST	High flier
AVOIDS	Tries not to meet
GLIDER	It may require several drafts
GLYCEROL	Ingredient in skin moisturizers
LOCHS	Scottish vacation spots
ITO	Japanese leader Hirobumi ___
AIR	Make known
WRITE	Going-away request
WON	Korean money
ALOT	Commonly
ATTHEHALF	When a football game breaks
KLINE	Oscar winner for "A Fish Called Wanda"
LENIN	Overthrower of Kerensky
STOODVAST	Was extremely tall?
STEAL	Appropriate
THORO	Complete, informally
OINKS	Sow sounds
TAN	Camelhair color
TYCOBB	First elected member at Cooperstown
BCELL	Lymphocyte found in marrow
BARS	Blocks
ERGS	Work units
THINS	Dilutes
AITCH	It's silent in honor
ICESHEET	Arctic cover
CAAN	James of "The Godfather"
ARI	"Exodus" protagonist
EON	Mighty long time
WINCHESTERRIVAL	Remington or Browning?
WATER	It's in the spring
ISH	Ending with fool or ghoul
TEE	Kickoff need
VOLGA	Europe's longest river
ARIEL	1965 book by Sylvia Plath
LEERS	Bad looks
ARKANSAS	Southeastern Conference powerhouse
ATSEA	Befuddled
NIL	Naught
SNUG	Pleasantly small
EER	Suffix with election
ELSINORE	"Hamlet" setting
LOSTINTHESHOVEL	What a meditative ditchdigger might get?
ESTES	___ Park, Colo.
VET	Wormer, say
LIE	One might get caught in it
SLUE	Swing around
SHALE	Petroleum source
ROGER	"I understand"
ROUNDER	Habitual drunkard
OCT	When D.S.T. ends
ACME	Climax
ACTIVIST	One with a cause
CLARENCE	"It's a Wonderful Life" role
MERENGUE	Dance with a sliding step
GRETEL	Grimm child
ERE	Prior to
TRIVOCALS	Sounds on a Peter, Paul & Mary album?
RACK	15-ball cluster
ILSA	___ Lund
VEIN	Way to one's heart
CLEAT	Point at the bottom
TACO	Tex-Mex order
REEF	Snorkeling site
ALEUT	Alaska Peninsula native
TAR	Low-___
ATREST	Not moving
TURNTO	Seek aid from
REBORN	Back again
TOCSIN	Alarm bell
TART	Lemony, e.g.
ONSITE	Like some job training
SEM	Theol. school
SIDNEY	Director Lumet
ELECTS	Votes in
MEREST	Minimum
IRE	Indignation
CUE	Helper
RANKANDVILE	Doubly disgusting?
RELY	Depend (on)
VIALS	Scent containers
VENDORBENDERS	Result of beer sellers sampling their own wares?
DAMN	Angry outburst
EVIL	Wickedness
NAPA	Valley of vintners
DULY	Properly
EIDER	Pillow filler
INGA	Swenson of "Benson"
NOVAULTINSURANCE	Dismaying realization at a bank that's just been robbed?
NOD	Common consent
SEE	"Get it?"
USN	Captain's org.
SCUM	Society's dregs
TRIPLY	Again and again?
TOES	Ones getting socked?
LETS	"___ not fight"
TEEN	Middle-schooler, maybe
ONLAY	It's a relief
EDEN	Nice place
SYST	Part of CBS: Abbr.
