YIPS	Sounds from pounds
YOGI	Contemplative sort
IVAN	Dr. Pavlov
PAGE	Webmaster's creation
SLAV	Bulgarian or Croat
SCALP	Place for a massage
SMARTY	Person who mouths off
CANCEL	A.T.M. button
ANNA	Magnani of "The Rose Tattoo"
LOIN	Beef buy
PRETZELS	Bar freebies
TADA	Bit of vocal fanfare
TAXLAW	The Stamp Act, e.g.
AXEL	Leap for Lipinski
DEN	Iniquity site
ADA	Critic ___ Louise Huxtable
OVAL	Lionel track layout, maybe
MANOR	Big house
AXED	Pink-slipped
GAGA	Madly in love
ANNIE	Curly-haired comics heroine
XENA	TV's Warrior Princess
INEVERCANTELL	Egotistical George Bernard Shaw drama?
EELY	Hard to hold
ESTA	Are, in Aragón
ETE	Hot time in Haiti
ZSA	When repeated, a first name in Hollywood
IONLYLIVETWICE	Egotistical James Bond caper?
INOIL	How sardines are packed
OKAPI	Cousin of a giraffe
NET	Bottom line
ICEUP	Become slippery, in a way
VEE	Churchillian sign
IMOFF	"Toodles!"
CARTE	Garçon's list
EXEC	Pres. or treas.
ONKEY	Correctly sung
OMNI	Prefix with potent
CELA	1989 Literature Nobelist
MAX	Nth degree
MOAT	Zoo barrier
OGEES	They're S-shaped
OATINESS	Quality of bran muffins
GNU	Bearded antelope
PORE	Dermatologist's concern
POI	Islands dish
NIP	Bit of brandy
NANU	Half of Mork's sign-off
NHRA	Dragsters' org.
SOFTC	Central opening?
SLEW	Did in
ILIGHTUPMYLIFE	Egotistical 1977 pop smash?
GOCART	Miniature racer
MANIAC	Raving lunatic
YVONNE	DeCarlo of "The Munsters"
ORI	"...___ quit!"
AVE	"Hail, Caesar!"
ICANDONOWRONG	Egotistical 1948 Cole Porter tune?
ICON	Clickable symbol
DOUP	Make spiffy
OSSA	Greek peak
RAZZ	Give the Bronx cheer
OREO	Hydrox look-alike
NEAL	"Hud" Oscar winner
GALA	Big bash
MICA	Isinglass
MOW	Shorten, in a way
IDO	Witness stand oath
EOSIN	Biology lab stain
AREA	Painter's estimation
ODOR	Nose wrinkler
SUSAN	Emmy winner Lucci
ZEAL	Gung-ho feeling
WONT	Custom
SPACE	#, to a typesetter
ZOLA	"Nana" author
