WRAP	Sari, e.g.
WEAR	Last under use or erode under use
RABE	"Hurlyburly" playwright David
ASIS	"No returns"
PETERI	"Great" czar
GRIM	Gloomy
GRAVAMEN	Grounds for legal action
RADAR	Gary Burghoff role of TV and film
INIT	L., B. or J.
MINIDRESS	Revealing garment
EMAIL	Place for an emoticon
EGGNOG	It might be spiked
MAO	Jiang's husband
AGOG	Like kids at a circus, maybe
INFO	Dope
LEFT	Remaining or gone
EASE	Life of Riley
RANI	Asian princess
GAGNE	Dodger All-Star pitcher Eric
ABIT	Some
ADIN	Deuce follower
GOOFF	Begin operating or stop operating
RESERVATION	Confirmation or uncertainty
ROSSI	Martini's partner
OUI	Paris accord
GOT	Fathomed
ROAR	Stadium sound
DUOS	Some Grammy winners
SIFT	Sort through
TAOISM	Belief in a life of harmony with nature
TENTS	Fair housing?
ALOHA	Welcome to paradise?
OFTEN	Commonly
ORIGINAL	Unchanged or novel
ONION	___ ring
NOTIN	Away from the office
ARENT	Don't exist
LARKS	Shenanigans
ELF	Kobold
SEINE	Repeated setting for Georges Seurat paintings
IGNORANCE	"No nation is permitted to live in ___ with impunity": Jefferson
FORA	Discussion spots
NOTHINGISBETTER	Words of praise or words of condemnation
HOCK	Equine ankle
BIGAPPLE	Gotham
ERICA	Dr. ___ Hahn of "Grey's Anatomy"
THEO	TV's Kojak
NOSIR	Respectful refusal
INK	Pen's partner
SANCTION	Approve or penalize
TETLEY	Twinings competitor
IRR	Non-std.
GIANTS	Willie Mays and teammates
ATREST	Sitting
KERR	Deborah nominated for six Academy Awards
PACT	Accord
PSALM	"O, sing to the Lord a new song," for one
THE	It's definite
TRIM	Add to or remove from
HARE	Fabled slacker
EVES	12/24 and 12/31
TRANSPARENT	Easy to see or impossible to see
NEOS	Converts to a cause, briefly
EMIT	Broadcast
NEMO	Fictional submariner
TRIP	Move gracefully or move clumsily
RAVEL	Entangle or disentangle
ENS	Nav. rank
NEAP	Minimal tide
EMER	E.R. part: Abbr.
IRENE	Comedic title role for Renée Zellweger, 2000
COLL	Univ.
SIMI	California's ___ Valley
MESSY	Chaotic
ESME	Olaf's girlfriend in Lemony Snicket books
TTOP	Sporty car roof option
