WHO	Sci-fi's "Doctor ___"
WHEW	"That was close!"
HALO	Symbol of sanctity
OSLO	Nobel Institute city
RATING	PG or R
RAP	Grammy category
ALTAR	Rite site
TOILETWATER	Light perfume
INCA	Pizarro foe
NSA	Code-cracking org.
GOLDA	Israel's Meir
ANEW	From the start
ACADIA	Maine's ___ National Park
NILESCRANE	1990s-2000s sitcom shrink
EAT	Absorb, as a loss
WOO	Wine and dine
HAS	Suffers from
ALONSO	"The Tempest" king
CIAO	"Later"
ELLIPTICAL	Like many planetary orbits
IDCARD	It may be swiped
ALTO	Clarinet type
WOOD	Ebony, e.g.
ALA	Like
DUDE	Ranch visitor
UOMO	Man, in 68-Across
CORE	Uneaten part of an apple
ONE	Canadian "loonie" denomination
MAOISTS	Long March participants
MOLTENMETAL	Material used in casting
THEPEN	It's "mightier," in a saying
SOBERS	Gets over drunkenness, with "up"
CSPAN	Airer of Congressional proceedings
CWPOST	Breakfast cereal pioneer
SHASTA	Cascades peak
PERSONALAD	Purchase of one who's looking for love
TKO	Bout stopper, for short
KASHI	Whole-grain cereal brand
MACHO	Far from wimpy
WHERESWALDO	Question posed by a 1987 children's best seller
STN	RR stop
DEC	Boxing Day mo.
REB	Fighter for Jeff Davis
PARD	Western pal
TASTE	Sample
GAPE	Open widely
GRANDE	Starbucks size
OSS	Old spy org.
INTHECORNER	This puzzle's answer to 35-Across (spelled out four times)
ITOO	Langston Hughes poem
OSO	Bear, in Bolivia
STOUT	Pub serving
UDDERS	Jersey parts?
EIN	A, in Austria
SAENS	Composer Camille Saint-___
TANDOOR	Indian oven
OSMAN	Ottoman Turk leader
MOON	It turns the tide
OPINE	Speak one's mind
ADOS	Commotions
SEP	Equinox mo.
SNIP	Salon sound
DEAL	Bargain
ELMS	"Slippery" trees
ALAE	Wings: Lat.
LOEW	MGM mogul Marcus
SALE	Bargain event
SSW	Phila.-to-Miami dir.
AAA	Tow-providing org.
MONTICELLO	Building seen on a nickel
ORA	"... man ___ mouse?"
CES	These, in Tours
SAAR	Moselle tributary
ARIANE	French satellite launcher
MAE	West of "My Little Chickadee"
WADS	Gum globs
NAPLES	City with a view of Vesuvius
SEW	Do zigzags, maybe
