EAST	90 degrees
ERECT	Be constructive?
AUGUR	Foreshadow
SLATY	Dark bluish-gray
TENDON	Muscle/bone connector
SWAMP	Place for a cypress
SLAW	Common side order
WARN	Put on notice
AKITA	Japanese dog
MESON	Elementary particle
PRESS	Urge
STAB	Attempt
STAG	Dateless
TACH	Dial on the dash
AXIS	Central line
BID	Didn't pass
RULE	Be a monarch
LAKER	Staples Center player
TAXI	Hack
EGAN	"Magnet and Steel" singer Walter
ARISE	Word to a knight
ACID	Aspirin, e.g.
CUTDOWNTOSIGHS	Reduce one's feelings of weariness?
ONEB	First-floor apartment
IAMB	Shakespeare's foot?
TRYON	Check for fit
ANSA	Looped handle
NEVE	Actress Campbell
VASE	Bud holder
ETCH	Make an artistic impression
MANNA	Heavenly edible
ARK	Famous holder of pairs
NINE	1982 Tony musical
NEON	Broadway brightener
ASTO	Regarding
LET	Court decision
LAPP	Arctic native
EQUI	Prefix akin to iso-
TURN	Change colors
BATTHEBRIES	Play baseball with cheeses?
TRA	Singing syllable
HOYA	Georgetown athlete
EDEN	Adam's apple area?
AQUA	Water color
APT	Fitting
SCROD	Seafood entree
KNOT	Perplexity
PURPLEHAYES	Badly bruised president?
LOEW	MGM Studios founder
SEGO	Utah's state flower
ENO	Rock producer Brian
PINTO	Kind of bean
ANEW	Over
WAFERS	Thin treats
EDAM	Dutch export
DITCH	Get rid of
AZURE	Lapis lazuli
MANOR	House of lords
GASPE	Canadian peninsula
SADIE	"Sexy" Beatles girl
PHILE	Audio attachment?
ESTER	Any acetate, chemically
THEWIZARDOFAHS	Master at wielding a tongue depressor?
TACO	Food whose name means, literally, wadding
HILO	Hawaiian port
ELAN	Zing
RENO	Attorney general from Miami
DRED	Stowe book
JAIL	Monopoly square
JUG	Water carrier
TUNER	Piano specialist
EDIT	Cut, as film
UCLA	Pac 10 school
CRONE	Grimalkin
RILE	Steam up
GOON	Keep at it
HEROD	King of Judea
SEER	Sibyl
