CPAS	Auditors
CHIC	All the rage
POOR	Hard up
ALTO	Low woman
SEASON	Give relish to
PIPIT	Small songbird
PSYCHIC	Medium
ITER	Roman road
PESOS	Cuban money
INEPT	All thumbs
TOSSUPS	Even chances
SHAG	Pipe tobacco
SCULPTOR	Michelangelo or Rodin
HENIE	Skater Sonja
ALTER	Doctor
GLOSS	Some makeup
HOLE	Green target
STENO	Kind of pad
CELL	Lockup
IOTA	Minute amount
YESES	Approvals
UNTO	"Do ___ others as..."
CROSSCROPS	Hybrids?
SOS	Message in a bottle?
LIES	More than fudges
OOH	Exclamation before "Look!"
STUMPERS	Tough puzzles
MILD	Soft-spoken
JOINSIN	Participates
JOSH	Kid
OLEO	Stick on the dinner table
IAGO	"Othello" fellow
NONO	Rule breaker
PIT	Place to refuel
OLA	Motor suffix, commercially
COOPSLOOPS	Rings in chicken cages
ORO	Treasure on the Spanish Main
PADS	Football gear
OOZY	Slimy
PLOP	Sitting sound
SLOE	___ gin fizz
SEGUE	Smooth transition
UPSTARTS	They're not "old money"
ESAU	"___ Wood sawed wood" (tongue twister)
NRA	Gun grp.
DROLL	Waggish
HOOPSHOODS	Urban basketball zones
HOGWASH	"Baloney!"
SUNSETS	Western endings
ZOO	Game park
SAO	___ Paulo
SUBTYPE	Group within a group
BOW	Yield
TWOBIT	Small-time
PORTUGAL	It once ruled Mozambique
PASHA	Grand vizier, e.g.
ORLOP	Lowest deck on a ship
REUSE	Second time around
AORTA	Place for a valve
LOGIC	Reasoning
NOW	"This instant!"
AREA	Domain
WOODSWORDS	Quote from Tiger?
DUNK	Easy bucket
ROSH	___ ha-Shanah
DATA	Info
STOW	Put on board
SLUR	Talk like thish, shay
ARGUE	Go at it
BOAT	Bridge site
HOST	Person with a mike
STINT	Tour of duty
ISTO	Analogy words
APES	Subjects of Darwinian theory
HACKS	Cabbies
THAW	Spring thing?
