SHEBA	Queen's land
SSGT	Army E-6: Abbr.
HARI	Mata ___
ELAN	Spirit
BANDED	Got together
ADDED	Did sums
CHAD	Data card debris
CRABCAKE	Shore dinner appetizer
HOHO	Jolly response
ATAXIA	Loss of muscle coordination
DEM	Clinton, e.g.: Abbr.
TOGO	Fast-food option
TAMPABAY	Buccaneer's place
OJAI	California town east of Santa Barbara
GAME	Ready and willing
ORAL	Kind of tradition
SALAD	Greens
ROTE	Learning style
AJAR	Discordant
GRANDBAHAMAMAMA	West Indian parent?
BRUCE	Comic Lenny
ASSANTE	Armand of "The Marrying Man"
TINDERBOX	Dangerous situation
SPIEL	Pitch
EDUC	Part of N.E.A.: Abbr.
ILSA	"Kiss me as if it were the last time" speaker
LBS	They may hang in the balance: Abbr.
CORD	Telephone part
CUSHY	Like some jobs
OSHEA	Kitty ___ (mistress in Irish history)
REARM	Get strong again
CASABABABA	Fruit cake?
SELMA	Seat of Dallas County, Alabama
APPLE	Computer logo
BUOYS	They barely keep their heads above water
APSES	Parts of chapels
USE	Draw upon
PEKE	Lap dog
PUSHIER	Less apt to wait one's turn
SNAPUP	Buy in a hurry
SHAMU	SeaWorld resident
MEANWELL	Have good intentions
ELM	Street shadower
MAHOGANY	Reddish-brown
TYPOS	Thit and thas?
HERESY	Dangerous pronouncements
YAT	China's Sun ___-sen
MACE	Medieval or modern weapon
CANED	Like some chairs
LYE	Tough cleaner
YAMAHAHAHA	Laugh on a bike?
HAWAII	Pro Bowl site
FESS	Come clean, with "up"
FEEDON	Eat
NITA	New York congresswoman ___ Lowey
ONCE	Some time ago
CLACK	Striking noise
INAWE	Most respectful (of)
ILED	"___ Three Lives"
NONO	Jumping a line, e.g.
AWOL	Concern for an M.P.
WAGELEVEL	Earning position
ANON	This may follow words of wisdom
VANE	Rooster site, maybe
EDGE	Result of honing
LAOS	Golden Triangle country
LOWERCANADADADA	Art form in Quebec?
CDT	Chi. clock setting
ENOL	Carbon compound
DION	1960's singer with the Del Satins
CONGO	Ubangi's outlet
DOLL	Dress (up)
TINY	Itsy-bitsy
KNEES	Supplicant's supporters
