ABED	Sleeping, say
ART	Linkletter who hosted TV's "House Party"
BAH	"___! Humbug!"
EVE	She raised Cain
DISC	Kind of brake
STOOD	Got up
STENOS	Shorthand takers
TIETHEKNOT	Marry
OLDEN	Ancient
ODOR	Skunk's defense
DEF	Dict. offering
REST	Sleep
ROUND	Quarterfinals or semifinals
ELSE	Something ___ (a lulu)
SLIP	Err
TACT	Saying "I'm not sure that dress looks perfect on you," e.g.
RAVI	Sitarist Shankar
TILDE	Squiggle over an "n"
OLLA	___ podrida (spicy stew)
THESPEEDOFMUSIC	Tempo?
PACINO	"Scarface" star Al
MIEN	Bearing
CANTER	Gait faster than a trot
INEPT	Bumbling
MAE	Fannie ___
MARTHA	Mrs. George Washington
ALOHAS	Hawaiian greetings
ELDERS	Tribal advisers, typically
COHN	Marc who sang "Walking in Memphis"
WED	Marry
WOLF	Gobble (down)
ALLRISE	Cry when a judge enters a courtroom
RISK	Hazard
CON	Swindle
CROSSEDOUT	Put X's over
CBS	"60 Minutes" network
CANINE	Tooth next to a premolar
BLENDS	Mixes
SAYEST	"Thou ___" (Jesus' response to Pilate)
RODIN	"The Kiss" sculptor
KARL	Bush adviser Rove
ADD	Total (up)
NALA	Simba's love in "The Lion King"
NOVA	Bright star
THESOUNDOFMONEY	Ka-ching?
URIS	Leon who wrote "Exodus"
MORTAL	Human
HARK	"Listen!"
RODS	Fishing poles
OVINE	Sheeplike
ASS	Idiot
SIT	Perch
SOSO	Mediocre
STRANDS	DNA units
TRIFLE	Play (with)
LOS	___ Alamos, N.M.
LACES	Spikes, as a drink
BERT	"Sesame Street" character with a unibrow
BARNS	Buildings with lofts
EST	Inexact fig.
SAGAS	Long, drawn-out stories
STAB	Knife
AHOY	Greeting to a matey
GENE	DNA element
RADIAL	Like the arms of a starfish
RONA	Author Jaffe
LIPS	They're kissable
THECOLOROFLIGHT	Spectrum?
LAB	"Chocolate" dog
GEE	"___ whiz!"
HEX	Put a spell on
TRY	Hear, as a case
AONE	Top-notch
ANNUL	Cancel
PEER	Look out a window, say
BYES	What top seeds often get at the starts of tournaments
BASTE	Moisten while cooking
SEXY	Alluring
