DORM	Collegiate digs
DEMI	Actress Moore
ODIN	Valhalla god
RIND	Orange or watermelon cover
MEDICARE	Health program for seniors
DADA	Baby's first word, maybe
DONALD	Gazillionaire Trump
APT	Suitable
DAHL	Roald who wrote "James and the Giant Peach"
ALES	Pub quaffs
ENDOW	Provide with funds, as a college
EMU	Australia's unofficial national bird
NITWIT	Lamebrain
DATA	Input for computers
OMEN	Portent
WIRE	Telegram
EDIE	Emmy-winning Falco
OPAL	Milky gem
MIAMI	___-Dade County
MINDINTHEGUTTER	What a dirty person has
IRONY	Literary twist
GUSHES	Oohs and aahs (over)
INDIRA	___ Gandhi, pioneering female leader
LSU	Sch. in Baton Rouge
WANE	Become less bright, as the moon
COLD	Refrigerated
DIRECT	Lacking a stopover, as a flight
SKI	Go down a slippery slope
KEN	Documentary filmmaker Burns
HANDINTHETILL	What an embezzler has
HASTO	Simply must
NORAH	Singer Jones whose father is Ravi Shankar
TUFFET	Spot for eating curds and whey
ICIER	Far less friendly
LINK	Connection
LASS	Fair maiden
SCARY	Hair-raising
SELF	Freudian concern
CLEO	Egypt's last ruling Ptolemy, familiarly
ROUEN	City where Joan of Arc was burned
CIA	Espionage org.
ELSE	"If all ___ fails ..."
SERFS	Feudal workers
SENDON	Forward, as mail
GINS	Machines on cotton plantations
GROSSOUT	Fill with disgust
LET	Tennis serve requiring a do-over
DECAF	Coffee for before bed
DID	"The butler ___ it"
TREKS	Long, arduous walks
TOWEL	Low-tech hair dryer
FOOTINTHEDOOR	What a well-connected applicant has
TOPDOG	Honcho
DOTCOM	Techie's company
ODD	Eccentric
TOWS	Aids for disabled cars
CAMP	Kid's summer getaway
CHAD	Paper ballot punch-out
AERO	Prefix with dynamic
MADD	Grass-roots org. that fights alcohol abuse
OAT	Bit of Dobbin's dinner
ATMS	Devices you can bank on, briefly
THAT	"Take ___!"
TESTEE	Exam taker
TUNA	Deli salad fish
EDIT	Fix up, as text
ESTA	"Cómo ___ usted?"
HEADINTHECLOUDS	What a dreamer has
IRE	Fury
EYE	Cyclops' distinctive feature
ARDOR	Passion
MAYO	Tartar sauce ingredient
UNIT	The "U" in I.C.U.
DODGE	Manage to avoid
STEM	Blossom supporter
TATA	"Toodle-oo"
