SAME	Unoriginal order, with "the"
SEXOBJECTS	Idols, often
ABERRATION	Anomaly
MONTECARLO	Solitaire game of matching pairs of cards
ENA	Disney doe
SMARTDRUGS	Enhancers of cognitive abilities
SPLITS	Cheerleaders' display
MEATY	Substantial
ANTZ	Animated film featuring the voices of Gene Hackman and Sylvester Stallone
RTE	G.P.S. request
THD	Seminary deg.
DOINGIN	Icing
RUNES	Old character set
USNA	John McCain's alma mater: Abbr.
GEER	Emmy winner Will
SSRS	Bygone Black Sea borderers: Abbr.
EBON	Raven
PENTHOUSES	Places to live the high life?
XENA	Lawless vehicle
LATEDINNER	Follower of an extra-long workday
ORT	Meal bit
RITZ	Extravagant display
RIBS	Rack parts
NEARS	Comes up to
BREVITY	Rambler's lack
VOTED	Supported a runner
MUGS	Acts clownishly
MIMES	Those whose actions speak louder than words?
UFOS	Potential hoax subjects
JACOBS	"Grease" co-writer Jim
FIFI	Maggie's dog in "Bringing Up Father"
FEVER	Pyrexia
FIB	Trumped-up bit
FOUNDATION	Something to build on
IDEALISTIC	Not real-world
BARRELROLL	Aerobatic maneuver
ETATS	The Louvre's Salles des ___
LEMONSODA	Drink with a bite
LALAW	Hit NBC series succeeded in its time slot by "ER"
SCUDS	Gulf war weaponry
CIRE	Glazed, waxy fabric finish
RAVES	Sounds unsound
RAJA	Asian royal
CUER	Move caller for a round dance
TOLDTALES	Produced 28-Acrosses
TALKING	Activity avoided by 24-Down
LUNAR	Kind of cycle
LITE	Miller option
SNO	___ Balls (snack brand)
AJAR	Somewhat open
RIDDLE	It doesn't have an obvious answer
REDDEN	Betray shame
SLAW	Uncooked side
SNEAK	Choice for third and short
SETSAIL	Headed out for the drink
SEINE	It's under the Pont Neuf
FRANK	Open
FLOR	Rosa or violeta, por ejemplo
RICO	First baseman Brogna
AVEC	Matisse's "Jeune fille ___ tiare"
CEDE	Give up
CARD	Jester
TSR	Original Dungeons & Dragons co.
LIVEINMAID	Upper-class luxury
NBA	Org. with guards
MOR	Neighbor of Alg.
TITO	W.W. II partisan leader
TRE	Amount past due?
OCEANBORNE	Like bottles with S O S messages, typically
ROIL	Muddy
ROCKGARDEN	Spot to show off alpine plants
ENCL	Letter abbr.
