CATCHWORD	"Cowabunga!" or "23 skiddoo"
CATSUP	McDonald's freebie
ASHTRAY	Where butts are parked
TIEINTO	Establish a link with
CAPE	Fear is one
HMOS	Med. care providers
WIL	Humorist Shriner
ONIONS	Salad garnish
ROCKYMOUNTAINHI	Greetings from John Denver?
DRED	1856 Stowe novel
DRAWN	Formulated
DEC	Holiday mo.
REHAB	Detox place
ARAPAHO	Plains native
WISESUP	Finally understands, with "to"
NEEDED	Something nice to feel
ASIAMINOR	Home of the Hittites
EERIE	Like H. P. Lovecraft stories
THEPOLICE	Onetime Sting operation?
CHASE	Go after
STIES	Farm areas
OKD	Accepted
APED	Mirrored
URN	Ode subject
ANY	At all
AUSTRIA	1976 Winter Olympics host
DEBASE	Adulterate
DIEHARD	Action movie series
ELCID	1961 Charlton Heston portrayal
PATH	Tao, literally
HUPS	Cadence sounds
USMAIL	Letter box deposits
ANC	Mandela's polit. party
HUD	1963 Martin Ritt film
YOURS	Complimentary close
RETRY	Hear again
ONECROP	Kind of farming
ROAN	Reddish-brown
PETRUCHIO	"Who knows not where a wasp does wear his sting?" speaker
RUT	Groove
TESTRUN	Tryout
TEAROOM	Small eatery
EXPIATE	Make amends for
ADARS	Jewish months
RUNRIOT	Grow abundantly
SIAMESE	Standpipe with two openings
SEX	Census entry
SPELLS	Some witchcraft
RITTER	"Skin Deep" star
ENTAIL	Involve
NUIT	"Bonne ___!"
TEASER	Come-on
PAPAYA	Yellow fruit
ACTSA	___ part (role-plays)
AND	Common joiner
NAE	Aberdeen negative
ERIC	Satirist Idle
PIT	Depression
PACT	Alliance basis
FIRMA	Terra ___
FOAM	Froth
IMRE	Hungarian patriot Nagy
LOATH	Disinclined
HAR	Kramden laugh
ANATOMIES	Medical dissections
TNT	Cable letters
LOTSA	"___ luck!"
CHINAROSE	Garden bloomer
SMEAR	Campaign tactic
TILTMETER	Volcanologist's instrument
