NOPAR	Stock classification
NED	Flanders of Springfield
OVO	Ab ___ (from the start)
PIZZAZZ	Flash
ATEAT	Really bugged
RANCHO	Where to find a vaquero
NIPS	Shots for sots
NAZARENE	Jesus, notably
IGER	Eisner successor at Disney
PRAYER	Grace, for one
SOL	Spain's Costa del ___
ALTE	Adenauer nickname, with "Der"
ARGOT	Jargon from a mixed-up Florida athlete?
LOONIES	Nuts
TWOTONE	Colored like some cars
ESSENES	Ancient Dead Sea sect
EVITA	Lloyd Webber/Rice musical
AGRO	Prefix with industry
ROWS	Plows follow them
DOZEN	Bakery order
ZEAL	Passion
GOOS	Nursery sounds
ZACHARY	Presidential first name
HEDONICS	Study of pleasure
MONTE	Game with sleight of hand
MAGEE	Tony winner Patrick
LEATHER	Jacket material for a mixed-up North Carolina athlete?
LAD	Boy
EDO	Shogun capital
ELATION	Joy
LASVEGAS	Strip site
ADZ	Carving tool
ODE	Handel's "___ for St. Cecilia's Day"
RAG	Piano piece
ENE	Memphis-to-Nashville dir.
DOZE	Not pay attention
EWA	Actress Aulin of "Candy"
ONA	___ high
ALI	Clay, after a while
SENSES	Detects
NRA	Gun enthusiasts' org.
WINELOVER	Oenophile, as a mixed-up Michigan athlete?
IMSET	"No more for me, thanks"
OVERTAKE	Pass
MONAMI	Term of friendship in France
MARSALA	Veal ___
ONEACAT	Classic batting game
NOPLACE	Not anywhere
IVE	1962 #1 country hit "___ Been Everywhere"
ATME	"Ma! He's Making Eyes ___" (1940 hit)
TRAPPER	Hide seeker
MES	Mayo, for one
EXT	Telephone no. add-on
ANO	What makes God good?
SCI	Medicine, e.g.: Abbr.
ISOLDE	Wagner heroine
EGO	Sartre's "The Transcendence of the ___"
ONTASK	Focused at work
REX	King of the Roman Empire
REPRESS	Sit on
RUBIN	Apply to the skin, as on a mixed-up U.C.L.A. athlete?
RANPAST	Flew by, as a mixed-up Michigan State athlete?
PESTO	Rotini topper
SALUT	"Cheers!" abroad
OUTSTEP	Move beyond
ULAN	___ Bator, Mongolia
ACAB	Hail ___
ELLA	Actress Raines on the Hollywood Walk of Fame
ENG	H.S. course
ASPER	According to
ERA	Depression-___
REN	Stimpy's TV pal
LACI	Peterson of 2003 news
NDAK	Home of Grand Forks: Abbr.
STERE	Cubic meter
ATEN	Egyptian sun god
GENE	Chromosome carrier
KORAN	Holy text
