JASMINETEA	Flower-scented refresher
JSBACH	"Original father of harmony," per Beethoven, briefly
AQUILA	Heavenly neighbor of Scutum
SUCRES	Former Ecuadorean money
MAKERS	Production team?
IRR	Like some cheap mdse.
NEON	It's noble
EDGAR	Guest in a library
TEESOFF	Galls
EARLYMASS	What a priest may say shortly after waking up
ALS	Lyricist Dubin and others
SGTS	P.D. personnel
SWAT	Clock
GAMEBIRD	Snipe, e.g.
TWOIRONS	Some vintage clubs
SARGASSO	Floating brown algae
SQUAREDEAL	Flimflam's antithesis
WAWA	Drink in a sippy cup
BUCKROGERS	Longtime battler of the Mongols
AMOR	Antony's love
AIRE	It flows through Knottingley
NASL	Chicago Sting's org.
STEIG	Writer who created Shrek
SLA	1970s kidnapping grp.
CLERK	Court figure
KLAN	Group in the Bogart film "Black Legion"
ROYAL	Word with pain or treatment
ARTOIS	Historical region on the Strait of Dover
BRA	Support at the top?
HASSLE	Pain
ERASER	One way to take back one's words?
FMRADIOS	They utilize high bands
DUN	Grayish brown
ARAFAT	World leader whose full name included Abdel twice
ASIFICARE	"Whatever"
URNS	Catering hall sights
CABANAS	Changing places with swimmers?
CADILLAC	Something that's the most luxurious of its kind
ADELAIDE	Capital on Gulf St. Vincent
BIBLICAL	Like some thoroughly examined passages
AAR	River past Solothurn
SOANDSO	Rat
ANUT	"Everybody Loves ___" (Johnny Cash title track)
ADIA	Hit from the 1997 album "Surfacing"
SITSIN	Subs
TSELIOT	He wrote "I will show you fear in a handful of dust"
DEBRIEFS	Gets information from, in a way
IDS	They're often needed to go clubbing
SUGARS	Sweetens
GOURDE	100 centimes
ALLEYS	Where semis aren't typically seen
RENATO	Opera character who sings "Eri tu"
STAMEN	A bee may be on it
ILL	Fighting something, say
DRIED	Like jerky
DINGS	Minor accident results
TOLET	Sign of availability
LAIRS	Sanctuaries
REMS	Phenomena after retiring
CLII	Second-century year
ISLE	It's often volcanic
ULNA	Locale of the radial notch
LICE	Pet problem
MAINSTREAM	Alternative to alternative
MTS	They're often volcanic: Abbr.
TOY	Transformer, e.g.
ADAM	"As You Like It" servant
TROGLODYTE	One who used to go clubbing?
CELS	Hanna-Barbera productions
SETSEYESON	Spots
