GESSO	Painter's primer
GENESIS	Book that spans 2,369 years
ELEMENT	Gold or silver, but not bronze
SIAMESE	Like the cats in "Lady and the Tramp"
SARAN	Clear kitchen wrap
OST	Sunrise direction in Berlin
SRTA	Mex. miss
SHOUTS	Hoot and holler
RONIN	1998 De Niro film
TOETOTOE	In direct competition
ADS	Google moneymakers
NOHO	Big Apple neighborhood west of the East Village
NIECE	Lisa Simpson, to Patty or Selma
ONADARE	How one might go bungee jumping
HORCRUX	Receptacle for Voldemort's soul in Harry Potter
ONT	Que. neighbor
ELIAS	English novelist Canetti who wrote "Crowds and Power"
HOOD	Thing to look under
INON	Privy to
NEARTOONESHEART	Dear
ONUS	Burden
HAHS	Derisive laughs
EMMA	Actress Thompson
NUIT	When la Tour Eiffel lights up
ACDC	Rock band with a lightning bolt in its logo
SEENBUTNOTHEARD	What children should be, so the saying goes
BARO	Prefix with -meter
TINA	Fey of "30 Rock"
DEY	Susan of "L.A. Law"
INS	Electees
ASS	Mount in the Bible
TIS	"___ the last rose of summer" (start of a Thomas Moore poem)
RUE	___ the day
STEER	Head out on the ranch?
ENO	Musician Brian
WON	Korean money
WHO	"... that's ___!"
SEXY	What Justin Timberlake's "bringin' back," in a song
STA	Where to catch a bullet?: Abbr.
NORTHEAST	Home of the Ivy League
ROUE	Player/preyer
THENWHAT	"And after that?"
SPAR	Exchange jabs or gibes
OTTO	Director Preminger
OPP	Right to left, e.g.: Abbr.
TRALALA	Light refrain
TOREROS	Stars in a ring
OHO	Palindromic exclamation
PAILS	Many sand castle molds
ICERINK	Place to see a flying camel
LOZENGE	Drop down one's throat?
SLEDGES	Big busting tools
PRO	Not con
SUE	Take to court
SHAH	Persian monarch
KIA	Carmaker whose name means "arise out of Asia"
KNOTTY	Full of difficulties
IFAT	"___ first you ..."
COL	___ Mustard
PARTHENONFRIEZE	It's a relief in Athens
TITUS	"___ Andronicus"
OHARA	John who wrote "Appointment in Samarra"
IPRAY	Start of an appeal
LEIA	Princess with a blaster
WHOA	"That's big news, dude!"
PRED	Sentence segment: Abbr.
EARTHSHATTERING	Likely to change everything
EAT	Drop down one's throat
STS	Urban grid: Abbr.
ELS	Chi-town trains
ALOU	Baseball's Moises
TART	Like lemonade sans sugar
LANGE	Oscar-winning "Tootsie" actress
TASS	Cold war news source
STAY	Canine command
SYKES	Comedian Wanda
