SESTET	Sonnet ender
SEABOARD	Littoral line
EXPELLEE	Booted one
SHELLACS	Whups
TAMLA	Marvin Gaye's record label
ELEE	Robert ___ Prewitt ("From Here to Eternity" soldier)
TEN	Real good-looker
TAJMAHAL	Boardwalk locale
TSQUARE	Aid in drawing parallels?
AQUINO	Time Magazine's 1986 Woman of the Year
JUICY	Like some gossip
MICK	Dundee of "Crocodile Dundee"
ARK	Sanctuary
HEIFER	What Zeus transformed Io into
ALEROS	Models sold from 1999 to 2004
LYSINE	Essential amino acid
EXHALE	Yoga instruction
SQUIRELY	Noble and chivalrous
APEMEN	Transitional figures
QUICKIES	Afternooners, maybe
BELLE	Ball girl
BUICK	Riviera, once
BERGS	They might scrape bows
FRI	Thanksgiving follower: Abbr.
OLLA	Pueblo vessel
MEANY	Villain
MORES	Practices
LEON	Nicaragua's second-largest city
LETIN	Accept
ALA	After
ZORRO	2005 Isabel Allende novel
ZAXIS	3-D reference provider
VERSE	Something to sing
VIDEO	Broadcast component
RECHARGE	Plug in overnight, maybe
HELIX	Screw
MIT	Lincoln Lab locale
MUREX	Dye-producing gastropod
DESEXES	Bowdlerizes, in a way
NUDISTS	Debriefed group?
NADIR	Point of greatest despair
STARTOUT	Open
TAMARIND	Its fruit pulp is an ingredient in Worcestershire sauce
SLAMINTO	Rear-end, e.g.
LIS	___ pendens (pending lawsuit)
PARENTAL	Like some guidance
POMADES	Hair salon stock
OASIS	Green spot
OXCART	Rural hauler
ABUSER	Exploitative type
SORTIE	Incursion
RODEO	Event at which to ring necks?
RETIRE	Take out of circulation
AMA	Fitness advocacy grp.
XBOX	PlayStation alternative
REMIX	Sound studio job
RAOUL	Swedish diplomat Wallenberg
ARAM	Bulwer-Lytton's "Eugene ___"
AARON	First first name?
CUR	Cowardly fellow
QATAR	Monarchy ruled by the al-Thani family
QRST	Alphabet run
MATRI	Prefix with lineal
MEMO	Management issuance
ASTEROID	Icarus, e.g.
ENS	Certain Coast Guard member: Abbr.
HEROIN	Junk, so to speak
HAW	38-Down driver's cry
REINSURE	Cover again
AMOUNT	Measure
TRESTLES	Support structures
WONTDO	Is unacceptable
