DAUNT	Intimidate
DAHL	Willy Wonka's creator
ASEA	Where whalers go
UTAH	Home of the city Bountiful
NOV	Topaz mo.
TRIESTE	Adriatic port
OCTAD	Group of eight
ORSON	Director Welles
COTTA	Terra ___
TYPE	Font contents
ACU	Prefix with puncture
DEMERIT	Class clown's "reward," often
BOP	Jazz style
BAKED	Lay in the hot sun
ONICE	Standing by
PANTS	What suspenders suspend
ASTOR	Mary of "The Maltese Falcon," 1941
ROYCE	Rose ___, group with the 1977 #1 hit "Car Wash"
ANA	Bibliophile's suffix
HEAVIESTPUMPKIN	2010 Guinness world record at 1,689 lbs.
ENA	Disney deer
PRADA	Gucci rival
LAH	"Well, ___-di-dah!"
ENOTE	Cybermemo
ERECT	Put up
ASANA	Yoga posture
ARG	1978 World Cup winner: Abbr.
TRADES	Stockbrokers' orders
TESSA	"The Gondoliers" girl
EBERT	1975 Pulitzer-winning critic
ELAL	Mideast carrier
BONA	___ fides
ENGR	Mech. expert
REID	Successor to Frist as Senate majority leader
RUNE	Mysterious character
LONGESTMUSTACHE	2010 Guinness world record at 11 ft. 6 in.
SASHA	"I Am ... ___ Fierce," #1 Beyoncé album
TETE	Place for un béret
MOM	May honoree
CHAI	Indian spiced tea
HILL	Challenge for Jack and Jill
EELS	Snaky swimmers
ANG	Director Lee
AEONS	Time on end
HIE	Shake a leg
LARGESTMEATBALL	2010 Guinness world record at 72 lbs. 9 oz.
GARTH	Country crooner Brooks
ESTEEMS	Values
TRASHED	Seriously bad-mouthed
BON	"___ appétit!"
ASHE	Court legend
ROILS	Stirs up
OMERTA	Mario Puzo best seller
OCHER	Orangish yellow
MAINE	Northern terminus of U.S. 1
ERGOT	Grain disease
NOLAN	Actor Lloyd
NOHOW	At all, in dialect
OLIOS	Mishmashes
LEG	Part of an itinerary
CARTE	Restaurant reading
MOLES	Yard menaces
MTGE	Homeowner's debt: Abbr.
ROD	Staff's partner
RICA	Costa ___
OVEN	It's often operated with a dial
DELE	Strike out
HIGHESTHIGHDIVE	2010 Guinness world record at 115 ft.
SAL	Erie Canal mule
DXI	511, to Caesar
ENO	Roxy Music co-founder
MAGOO	Mr. who squints
EXCEL	Stand out
RET	Part of A.A.R.P.: Abbr.
SLEWS	A whole bunch
DIANE	"Navy Blue" singer Renay
