SWEATBOX	Prisoner punishment place
SHRIVER	First Peace Corps director
WAYSIDE	Kind of inn
ENCLOSE	Cocoon
AGO	Back
TTOP	'Vette feature, perhaps
BIDEN	1987-95 Senate Judiciary Committee head
OMELET	Western ___
XEROXES	Reproductions of a sort
PHFFFT	Sound of a dud
PROAS	Indonesian outriggers
HERS	One of a matching pair
FAN	Strike out
FRESHEN	Renew
FERRARO	1996-98 "Crossfire" co-host
TRYITON	Haberdasher's suggestion
HANGTIME	Michael Jordan gets a lot of it
REARER	Parent, e.g.
RYCOODER	1994 Grammy co-winner for "Talking Timbuktu"
ORNERY	Not at all nice
ISL	Atlas abbr.
PELOTAS	Jai alai balls
TULIP	Mania source of the 1630's
SRI	Indian honorific
VIOL	Bass ___
LEDUPTO	Preceded
NEXUS	Tie
CHAT	Rap
CHIANTI	Tuscany export
EDSEL	Ford family forename
LIFTS	Features of certain British stories
TEL	Business card abbr.
AHERO	"No man is ___ to his valet"
ASSES	Jacks, e.g.
REEDIT	Cut some more, maybe
TOO	Further
SITSINON	Attends as an outsider
TIS	Poetic contraction
UFOS	Ships to a far-off place?
SWOON	Pass out
PISA	Tuscany tourist city
SKIPTOWN	Try to avoid arrest, perhaps
STANDTO	Persist in
KEPTOUT	Wouldn't admit
INSHORT	Briefly
NODDING	Affirmative action
SENSES	They may be heightened
SANDBAG	Bank protector?
ELGRECO	"Espolio" artist
SEESRED	Is hopping mad
TENTS	Circus sights
OOH	Circus sound
HEADER	Spill
STALE	Like chestnuts
APSO	Dog tail?
BODES	Preindicates
BARNS	They're raised on farms
SINCE	Subsequently
INGE	"Splendor in the Grass" Oscar winner
NTH	Kind of power
BANDAID	Stopgap
BEER	Head site
DUKE	Single fist?
DRS	Physical conductors: Abbr.
DOOVER	Redecorate
VEE	Winning sign
IDNUMBER	Security datum
MLK	Annual honoree's inits.
TUREEN	Deep dish
NECKLACE	Something that may be charmed?
OTTERS	Frolicking fauna
GREEKGOD	Pan, e.g.
