CHASE	Many a stuntman's sequence
CREPT	Proceeded with caution
HEROS	Alternatives to wraps
ADULT	Ticket category
SUPERSIZEME	Hit 2004 Morgan Spurlock documentary
EXTRACREDIT	It might turn a B into an A
DOCTORWHO	TV series featuring a robotic dog named K-9
DSOS	U.K. decorations
OONA	1998 biography subtitled "Living in the Shadows"
CLOMP	Not tread lightly
TINEAR	Conductor's bane
ODE	Dedicated lines
RFK	1960s atty. gen.
WONBRONZE	Got beaten by two people?
HOER	Crop cropper
ODER	The Szczecin Lagoon is an extension of its mouth
REDUX	Revived
SOLIDFOOD	Something to chew on
ERUPT	Completely lose it
ONONEKNEE	Waiting for the starting gun, say
POLER	Gondolier, e.g.
SAME	Very
BRR	Seasonal sound
TSTRAP	Pump alternative
POI	Food often described using the number of fingers it takes to eat it
PARER	Kitchen gizmo
RAZORBLADES	Cutting-edge technology?
ENERGYDRINK	Jolt, e.g.
SCOLD	Termagant
LOLA	1970 hit with the lyric "Girls will be boys and boys will be girls"
DUELS	Old-fashioned argument enders
RANOUT	Sold all one's stock?
UDON	Soup pasta
TASS	News source beginning in 1925
DELIRIOUS	Bouncing off the walls
DADA	Early pop?
EDIN	___ chief (publ. honcho)
LOVESCENE	Shoot with steam?
SOLI	Helpless performances?
ZENDA	Title castle town of book and film
ADOZE	Catching a few z's
LEO	Jed's first chief of staff on "The West Wing"
ORZOS	Soup pastas
DIVED	Jackknifed, e.g.
ALLERGENS	Causes of some breakouts
ETO	Historical war zone: Abbr.
ANEMIA	Cause of fatigue
ATHOME	In
SITBY	Not get involved
SETTS	Paving stones
SALAD	Introductory course?
OLDHAT	Out
HINDI	"Thug" and "loot" derive from it
ASKIN	Make an opening offer?
TESTS	Some cricket matches
REC	With 55-Across, campus hangout
RAMS	Ones going head to head?
EXAM	It might be required for entrance
HALL	See 53-Across
LENO	"You're not famous until my mother has heard of you" quipper
LYON	Mary who founded Mount Holyoke College
ARISE	Surface
AXELFOLEY	1985 Golden Globe-nominated role for Eddie Murphy
LOA	"Mahalo nui ___" ("Thank you very much," in Hilo)
FAR	Considerably
DINKS	Drop shots
MANOAMANO	Without assistance in a fight
ENDIT	Split up
SMEAREDON	Not applied neatly
SKINS	One side in an informal game
