WEVEMET	Intro interruption
WITCHES	Good spellers?
ENROUTE	Neither here nor there
VAUGHAN	1982 Grammy-winning singer for "Gershwin Live!"
EHS	Requests to speak up
MOTS	Zingers
ELMOS	"___ World," segment on "Sesame Street"
TEETHE	Need a ring, maybe
REBECCA	Title character who dies before the novel begins
ROLEPLAY	Not be oneself?
EVERS	Civil rights leader portrayed in "For Us, The Living"
BETE	"La Belle et la ___"
ERS	Defibrillator locales: Abbr.
CROONED	Sang
CAUTION	It may be exercised
ANTENNA	Wave catcher
INAHOLE	Struggling
OVERRAN	Exceeded
TRUSTME	Words to a skeptic
LETSOUT	Ends, as a class
COG	Organization functionary
SOTHERE	"Hah!"
HOLDCOURT	Be the center of attention
OTE	Suffix with Capri
HUHS	Bewildered utterances
SINLESS	Impeccable
SHOPS	Champs Élysées features
PNIN	Title professor in a 1957 novel
PREENED	Tried to look smart
ETAIL	Some commerce nowadays
LAITY	Flock
ELL	Pipe fitting
CREON	Antigone's cruel uncle
CELEB	Star
SENNAS	Medicinal plants
SFO	It's about 375 miles NW of LAX
DAMEEDNA	Entertainer whose Broadway show was subtitled "The Royal Tour"
MCS	They may start affairs
LIFECYCLE	Biological series
EGOTISTS	Deflation targets?
FREETOGO	Released
FMRADIO	Stereo sound source
REERECT	Raise anew
ESTREET	Boss's address?
SENTRA	Civic competitor
THEMAYO	A waiter may be asked to hold it
RANRIOT	Cut loose
ANGELUS	Christian devotion
MESSY	Having entanglements
OUS	Cavern end
SORDID	Rotten
BEHAN	"Borstal Boy" author
RETS	Soaks
STROP	Sharpen, in a way
SANAA	Capital east of Asmara
PEASE	___ pudding
DENG	Jiang's predecessor as Chinese Communist leader
ARR	Flightboard abbr.
MAITRED	Two seater, perhaps?
MEOW	Request for attention, maybe
DYES	Colors
MRE	G.I. chow in Desert Storm
DEEPENS	Intensifies
PBA	Keglers' grp.
DAYSAIL	Yacht outing
SEP	Michaelmas mo.
ICEBOAT	Wind-driven vehicle with runners
ISEEYOU	Words of discovery
OTTAWAS	Pontiac's followers
DESPOTS	Coup targets
