CHEST	Old ship's cargo
CRITIC	Role played by everyone, it's said
HORACE	"Satires" author
EVADED	Got around
SEQ	Follow-up: Abbr.
TRICE	Instant
TAME	Like kiddie rides
TERM	Four years, maybe
ATOP	Looking down from
MAMAS	Biker women
ELECTS	Puts into position, in a way
SCAT	Cry to a stray
SHAD	Alewife's cousin
CADILLAC	Detroit's founder
ANDSOON	"Yadda, yadda, yadda"
TALCUM	Soft powder
ROVER	Mars Pathfinder, for one
ETAL	Research paper abbr.
HANA	Tennis's Mandlikova
IRAQI	Neighbor of a Turk
ROME	Center of Catholicism
ADDL	Extra, in ads
TAD	Little 'un
COMPACTDISC	Laser beam target
ONEPM	Early aft.
TULANE	Green Wave's home
ICEMEN	Onetime delivery people
METALS	Mint supplies
STU	R-V interior?
LOU	Frequently flexing Ferrigno
CEDE	Grant
EAR	Pitcher part
APER	Impressionist
RECAP	Précis
SLALOM	Race with flags
AMIDST	In a crowd of
TAPPET	Sliding rod in an engine
ARDENT	Rarin' to go
THIS	Walk-way connector
AMAN	Make ___ out of
CARMECHANIC	One who's good under the hood
CULDESAC	It provides no outlets
ALTHO	Regardless of the fact that, briefly
AULD	New Year's song title starter
ALARUMS	Old-fashioned warnings
RAILED	Inveighed
ALLSET	Good to go
ARCHIE	Popular comic book since 1942
TEEOFF	Irritate
PST	Calif. and Wash. are on it
SPEC	Kind of sheet
PEELER	Kitchen thingie
ERRAND	It may be run
COGNAC	Crêpe suzette flavorer
RAD	"Way cool!"
NET	It's searched for online info
THREE	Babe Ruth, for the Yankees
HETERO	Straight
ECASH	What online shoppers may spend
CREATEHAVOC	Come in like a whirlwind
AHME	Words of wistfulness
ACES	Does perfectly
VAST	Like tundras
ERG	Joule division
HUSH	When repeated, not to be repeated
ORCA	Sea predator
APLAN	"Sounds like ___!"
PIA	Carrier to Karachi
IMAM	Muslim leader
FEES	Loads of mutual funds
SIENA	Whence St. Catherine
ESCE	Suffix with fluor-
FEST	Slug follower
HARDC	It starts and ends seven answers in this puzzle
