LOFAT::::::::SPEC	Lite, on food labels
LEAPT:::::LAVORIS	Bounded
OLLAS::::SURENESS	Stewpots
FILIPPO:PICKLEJAR	Fra ___ Lippi
ADEN:IDIOCY::PEAS	Port where the U.S.S. Cole was attacked
TEAT:ZINES::LICK:	Milker's handhold
:DRJ:ZEST:SPENT::	Blueprint detail
::SOCA::INERT::::	Casa division
:::BAJA:CETUS::::	She's not a knockout
::::LONGJOHNS::::	Spanish snack
::::MIAOU:SEEP:::	Some nuts
::::SNIPS::JEEP::	Skipped over, as a syllable
::DIETS:TABU:ARR:	N.B.A. Hall of Fame nickname
:SOSA::GIGLI:REES	Actress Hayek
SALA::TICTAC:LSAT	Sammy who can really swing
PLAINJANE:HEYJUDE	Eagerly paying attention
EMPANADA::::MAMIE	Popular West Indies dance music
CASHEWS:::::AMEND	Swim at the Y, say
ELIDED::::::SALMA	Slims down
ALLEARS::::DOLAPS	Mustang's new coat, e.g.
PAINTJOB:::ISAIAH	Mexican peninsula
TSP:::CALMSEA:NNE	Old Testament prophet
::PIZZAJOINT::JAW	Recipe amt.
::ODIE:ANAIS:TADS	Relaxing setting for yachting
:::INS::GOP:GINA:	Winter underwear
::POETICJUSTICE::	Cat's cry: Var.
:SICS:NEO::AGT:::	Cuts, as hair
LUCY:SETHS:BLAH::	It's close to 1:00: Abbr.
ARK::PRUNEJUICE::	Place to get a slice
VEL:LETSSEE:::YMA	Featherheadedness
ONEPIN:::PEARLJAM	Fan publications
REJECT::::PRESUME	Piquancy
ISAAK::::::READIN	Boxer's target
SSRS::::::::STEED	Cartoon dog
