BIASED	Partial
BEST	Oscar word
ITTO	The Eagles' "Take ___ the Limit"
AARONBURRO	Biblical ass?
SLATE	Party offering
EIDER	You get down from it
DISROBE	Strip
BELT	Boxing prize
BOFF	Hit on Broadway
EMIL	Literary Ludwig
LANARK	Old Scottish county on the Clyde
TREMOR	Earthquake's onset
APSE	Area next to an ambulatory
AGO	Months ___
POOF	Magical sound effect
SATED	Filled to the brim
ETHANE	C2H6
ALOE	Natural emollient
AWOL	Roll-call no-show
LAME	Fancy fabric
ORBS	"Fiery" things, to Shakespeare
ENOS	Genesis son
ETALII	And others, to Ovid
OMAR	"A loaf of bread ..." poet
GOAT	Victim
WARN	Tip off
STRADS	Precious strings
FINETOOTHCOMBO	Dentist's jazz band?
TYMES	"So Much in Love" singers, 1963, with "the"
CRANK	Nut-case
TOOTER	Many a cabbie
FLAMY	Like tongues of fire
FEARLESS	Intrepid
NERO	Student of Seneca
ROMA	Alitalia destination
ADLAI	First name in 1950's politics
DNA	Test material
TAB	Picked-up item
TODD	Mike who produced "Around the World in 80 Days"
ANAIS	Diarist Nin
BRICKREDO	Mason's makeover?
RCTS	Gate: Abbr.
IRE	Dander
CURBS	Reins in
OUTEATS	Tops at the table
ENCASE	Box
CASKS	Port holders
ARLES	Van Gogh locale
SEENO	With 97-Across, a proverbial monkey's advice
ENDOR	Witch's place
ONUS	Millstone
STER	Suffix with dump
ECRU	Doily shade
SLUE	Turn on a pivot
ERASE	Take marks off
KAREN	___ Holmes, "From Here to Eternity" wife
DARTS	Pub competition
SCRAMS	Beats it
TERM	Two years in the House
MATTED	Unkempt, in a way
ATRI	Longfellow's bell town
INSERT	Bit of newspaper advertising
SLED	Transportation with rails
DIRECTS	Calls the shots
TYPEIN	Enter via keyboard
BARBIEANDKENO	Doll-collecting gambler's two favorite things?
RIATA	Ranch rope
BROODS	Litters
DEMOTE	Bust
SORRY	"Oops!"
ASTIR	Not sleeping
ANTILOG	Math table entry
ASSESSOR	County office
APIN	Answer to the folk riddle "Big head, no hair"
INFER	Surmise
TAO	Confucian principle
TEEM	Overflow
SEDIMENT	Deposit
SCALP	Hustle tickets
ELLIE	Songwriter Greenwich
DAMNS	Some cursing
ISSUE	Campaign topic
ETONS	Jackets and collars
NOOSE	Rope's end, maybe
ROSSI	Italian winemaker Carlo
SAFE	Call at first
SILVEROREO	25th anniversary cookie?
INAID	Grant-___
CLASSIFIEDADO	Top-secret turmoil?
ELMER	Bull of ads
ATTAINS	Secures
ARAL	Asia's ___ Sea
STLO	Normandy battle site
ALMS	Offering
NELL	Jodie Foster film
SOAR	Take off
ALL	Pledge of Allegiance ender
EFLAT	Key of Beethoven's "Eroica"
LINUS	"Peanuts" character
START	Dive in
ROMP	Win going away
PREGO	Ragú rival
SLAT	Part of a 58-Across
TOASTED	Like newlyweds, often
EVIL	See 44-Down
PESETA	Bygone money
ARIOSO	Vocal passage
GERMCELLO	Embryonic instrument?
MERSEY	Liverpool's river
CLAUDE	Rains in the movies
EDO	Former name of Tokyo
ARK	Early asylum
KNELL	Mournful chime
REEL	It holds the line
AFAR	Way out there
FAIRE	Renaissance ___ (old-fashioned festival)
ALANS	English novelist Sillitoe and others
SPARRING	Kind of partner
SCAB	Healing sign
POLE	Spar, e.g.
AGIN	Votin' no
RITZ	Nabisco brand
GROG	Drink on board
GRAIN	Tiny amount
IMIT	Not orig.
NOTI	Reply to the Little Red Hen
SALOME	Strauss opera
MAST	Ship timber
ESTO	This, in Taxco
COGITOERGOSUMO	"I think, therefore I wrestle"?
GPA	3.0, e.g.
TIARAS	Bridal shop section
ALIT	Set down
SLOP	Pig feed
EDIT	Abridge, maybe
ERNEST	___ J. Gaines, who wrote "The Autobiography of Miss Jane Pittman"
BENZ	Auto pioneer Karl
OLGA	Actress Petrova, femme fatale of silents
YETI	Sherpa sighting
DESOTO	Mississippi River explorer
