GRASS	Hula skirt material
GSA	Govt. property org.
RID	Purge
AND	&
SALMI	Pheasant ragout
SIERRA	___ Nevada
PLO	Arafat's grp.
PLAT	Surveyor's map
LATHS	Plasterwork backers
OCTETS	Fair-sized musical groups
SMOKE	It may be secondhand
SENORITA	Managua miss
MIDI	Longish dress
ODIN	Thor's father
KENT	Clark of the Daily Planet
ERG	Work unit
SINAI	Moses' mountain
LAC	Varnish ingredient
EIDER	Downy duck
ADDLE	Befuddle
ATTENDING	Not cutting
EPIC	Cast-of-thousands film
MRSTHEPOINT	Woman who's not very sharp?
SEVEN	Early evening
SATIRE	Mad magazine's genre
SEAMAN	Chantey singer
ATTILA	Number one Hun
THESIS	Grad student's work
STIR	Paint can direction
ETH	Addis Ababa's land: Abbr.
AVE	Mad. ___
ELF	Polar worker
SCISSOR	Clip out
SIT	Watch the kids
SLIEST	Most artful
ODONTO	Tooth: Prefix
RENDER	Give, as an apology
ATE	Chowed down
ELM	Stately shader
MOP	Unruly locks
TILDE	Every 9-Down has one
MISSINFORMATION	Girl who's got her facts wrong?
SET	Harden
INITIALS	Hanky embroidery
RIP	Saw along the grain
MECCA	City non-Muslims may not enter
ALIEN	"Star Trek" extra
PIE	Cobbler
END	Windup
NASTIER	More spiteful
EARL	Man addressed as "My Lord"
ROTGUT	Cheap liquor
PCB	Chem. pollutant
BAYOUS	Louisiana waterways
STE	Canonized Mlle.
TAOS	New Mexico art center
SHIRE	English place name suffix
CAPTOR	The "N" in "N x P"
PSALM	Poem of King David
MRBIRTHDAYS	Man who's annually in the doghouse?
MERE	Insignificant
RUIN	Totally botch
BRET	Baseball's Saberhagen
DANA	Comedian Carvey
NEURALGIA	Aspirin target, maybe
NAG	Henpeck
OARED	Propelled a boat
RTE	Rd. or hwy.
ERA	Unit of geologic time
DAR	Patriotic org.
ARIEL	The Little Mermaid
URN	Coffee vessel
ULTRA	Extremist
GENTS	Lavatory sign
TEA	Lipton product
SMEAR	Attack ad, maybe
