ABACI	Early calculators
AMP	Roadie's load
BAAS	Meadow calls
ACLU	Rights org.
COMBAT	Front-line action
INSULAR	Isolated, as a people
TACT	What it takes not to say "I see you've put on a little weight"
TOMB	Mummy's locale
ASEA	On a cruise
CHINOS	Casual slacks
TARMAC	Takeoff or touchdown site
OMAN	Arabian Peninsula land
OPAL	Gem mined in Australia
MOBILEHOME	It might have a "wide load" sign
ALIBI	It's good when airtight
NOTUP	Still in bed
MACON	Georgia Music Hall of Fame city
OSHA	Workplace watchdog org.
POLO	Fashion line named for a sport
PALMS	Conceals, as a card
MEIR	Golda of Israel
ABIT	Just slightly
SUBURBANMALIBU	Residential area of California [think Chevy]
RANAT	Charged
AFAR	At a distance
ALA	In the style of
OAF	Clumsy sort
LIP	Fresh talk
MUSTANGESCAPE	Start of a stampede, maybe [think Ford]
MAHI	Hawaiian fish, on menus
UPIN	___ arms (indignant)
SUNDAYBEST	Going-to-church clothes
GIA	Actress ___ Scala
ELCID	Conqueror of Valencia, 1094
POP	Much Top 40 music
APU	"The Simpsons" storekeeper
RAIL	Commuter's option
ROHAN	Realm of Tolkien's Middle-earth
AKIN	Closely related
NEXT	Barbershop call
HINT	Subtle flavor
TIC	Quirky habit
TACOS	Sonora snacks
ODE	"___ to Billie Joe" (1967 #1 hit)
SOLTI	Sir Georg of the Chicago Symphony
POKE	Elbow
INDIA	Locale of many outsourced jobs
ACTI	Play opener
IDOS	Altar exchange
SEACOWS	Dugongs or manatees
MIX	Be sociable
ACCORDELEMENT	Part of a peace treaty [think Honda]
OODLES	Lots and lots
REVIVE	Bring back, as a fashion
MULLAH	Islamic leader
SKY	Blue shade
SHARP	Quick-witted
KYRIE	"___ eleison" ("Lord, have mercy")
TOE	Tot's "piggy"
TAU	Letter-shaped cross
HYBRIDVEHICLES	Cars suggested by 20-, 26- and 48-Across?
RAKE	Do some yard work
ERIC	Idle of "Life of Brian"
HALT	Sentry's order
ELLA	Jazz's Fitzgerald
SILK	Symbol of smoothness
AREA	Surface figure
LIRA	Trevi Fountain throw-in, once
OLLIE	Colonel North, informally
EYE	Check out
RISK	Put on the line
EVIL	Dr. ___ (Mike Myers character)
WALLY	The Beav's big brother
PETE	Rose who surpassed Cobb
SECT	Religious offshoot
SHAKE	Soda shop order
