HARSH	Savage
HABIB	Career diplomat Philip
ARAME	Mild-flavored seaweed in Japanese cuisine
REGIS	Denver university
STEMTHETIDE	Slow an increase
HELPWANTED	Heading for classified information?
NONCE	Present
NEED	Grant consideration
OCA	Goose, in Spain or Italy
NOTUPTOIT	Lacking sufficient desire
CREVASSES	Levee breaches
EDNAS	"Hairspray" mom and others
ARETE	Alpine feature
PRERECORD	Get in the can early
PRESSER	Iron-handed one?
RUSHED	Hasty
ESSEN	Ruhr Museum locale
RTES	Lines: Abbr.
BAGEL	Tasty torus
RUSTEATEN	Heavily corroded
IMIMPRESSED	"Not bad at all!"
RINGER	A dead one looks like something else
UVA	Cavaliers' home, for short
BESTWISHES	"Cheers" alternative
CPAS	Calculating bunch, briefly
CORNERSTORE	Place to get milk
HANSEN	Relief pitcher Craig
TOTS	Day-care charges
TINKERSDAM	Whit
AVENGED	Like some wrongs
ANIMATION	Opposite of sluggishness
VACANTLOT	Something to build on
MIROS	"Blue II" and "Harlequin's Carnival"
MASHER	Lothario
NATTER	Run on
FANNIE	___ Mae
FATHERS	Confession receivers
ICIER	Less approachable
BASKETS	Magic acts?
BUTTED	Stopped being a 38-Down, with "out"
MADD	Safety org.
LUTHER	King's middle name
LONGE	What opens easily?
BANE	Poison
BADGE	Scout's honor
MOTHERSDAY	Observance made official by President Wilson in 1914
MENE	Mysterious word repeated in Daniel 5:25
DARES	Isn't too yellow
AGENT	Chemical ___
YENTA	Blabbermouth
ATT	N.F.L. passing stat.
CENTERSTAGE	Prominently featured
CIDE	Killer ending?
DILLINGER	"The lady in red" betrayed him
LDR	C.E.O., e.g.: Abbr.
DOREN	Pulitzer-winning poet Mark Van ___
GOODDEEDS	Samaritans' doings
ARENT	Have no life
ENTRE	___ año (in the course of the year: Sp.)
MESTA	Socialite who inspired "Call Me Madam"
