GLIDE	Fly effortlessly
GRAF	Seven-time Wimbledon winner
LENA	River of Yakutsk
IDALUPINO	"High Sierra" actress
DISCMAN	Sony introduction of 1984
ESTOPS	Impedes legally
MAC	Bub
MISC	Other: Abbr.
ALIA	Inter ___
CLARETRED	Crimson
TIPPY	Unstable
TAPSINTO	Accesses
IDEST	Lead-in to further explanation
PORES	Summer sweaters?
PROD	Impel to action
YET	So far
LAUDS	Talks up
LEHAVRE	City on the Seine
AROSE	Cropped up
UNIT	Hand or foot
DICE	They're spotted in casinos
SEED	Some bird feed
REDISTILL	Raise the proof?
TANS	Whips but good
ADORE	Think the world of
ERNIE	Muppet who sang "Rubber Duckie"
ANASTASIA	1956 Oscar-winning title role for Ingrid Bergman
PEROTCHOICE	James Stockdale as running mate?
CLEAVE	Split
FALCONCARESSED	Terse account of what happened at the Raptor Petting Zoo?
EDIE	Underground film actress Sedgwick
LASTED	Remained functional
UMPS	Vest wearers
EDITS	Tightens a piece, say
SEVE	Golfer Ballesteros
SWANN	Main character in Proust's "Remembrance of Things Past"
TAPAS	Kind of bar
TERN	Cousin of a gull
AREA	Vicinity
SATIN	Attended without really belonging
SALUTE	General acknowledgment?
ARID	Like the Gobi
WAR	"The child of Pride," according to Jonathan Swift
BSA	Badge awarder: Abbr.
BISECT	Split, in a way
SCARES	Horror film's offerings
AKINS	Claude who starred in TV's "Lobo"
ERIN	"___ go bragh!"
BARRETTEMAVERICK	Girl who wears hair clips in nonstandard ways?
BYJOVE	"Here's a pleasant surprise!"
TSETSE	Fly from Africa
ECLAT	Ceremonial splendor
MIATA	Sporty Mazda
RETINOL	Another name for vitamin A
REN	Stimpy's TV pal
WYLIE	Poet/novelist Elinor
WILIER	More artful
OSCINE	Like a crow or lark
ESAI	Morales of "NYPD Blue"
NAOMIJUDD	Half of a longtime country duo
MARLENE	1984 Hollywood biopic
ELAN	Impetuous quality
STERN	Forbidding
SEALED	Like diplomatic pouches
ALOT	Quite often
GETAT	Subtly suggest
GRILLE	Distinctive Rolls-Royce feature
EER	Ending with profit or racket
DEICES	Sows with salt, maybe
DRONES	Some reconnaissance craft
DERIVEINRESTAURANTS	Work on logical proofs while dining out?
DRUMUP	Foster, as enthusiasm
EATERY	Bistro
INANE	Nonsensical
NORAH	NBC newswoman O'Donnell
USABLY	In a convenient way
TRALEE	Historic Irish city
TOADS	Witches' familiars, often
NOIRE	Bête ___
SOLO	Player's chance to shine
OUTER	External
EARL	___ of Oxford
ENRON	"Conspiracy of Fools" topic
DIANELANE	Oscar nominee for "Unfaithful," 2002
DESELECTS	Cancels, as in an online order form
IBAR	Steel grating component
ARISTOTLE	"Metaphysica" writer
NEST	Swift production?
EXES	They've split
AMEN	"You said a mouthful!"
ANNALS	Archive's contents
ASHORE	How things may get washed
SALTINES	Soup accompaniers
EBBED	Subsided
REX	Alternative to Rover
DURESSREHEARSALS	Practice sessions for coercion?
SWEETIE	Ladylove
READ	Go through volumes
RISE	Sprout
RESCALE	Make larger or smaller, as a photo
SPY	Infiltrator
WHO	"___ says?"
LEERY	Suspicious
TESTS	Tries
TAIPAN	Clavell novel set in Hong Kong
LEON	One of Emma's lovers in "Madame Bovary"
LILAC	Pale purple
METAL	Quonset hut material
MEANY	No-goodnik
ERICS	Olympians Liddell and Heiden
FAST	Lickety-split
FROG	Jumper
ACHIER	In more pain
ASAP	Order letters
CODE	Set of standards
HULA	___ Bowl (postseason game)
DERIDEAPRICOTS	Show contempt for yellow fruit?
DRAB	Colorless
ALEE	"Hard ___!" (sailor's yell)
PENT	Confined, with "up"
TROD	Walked along
SANS	___-culotte
SOULTERRAIN	The Kingdom of Heaven?
RDA	Cereal box abbr.
CLEOPATRA	About whom Shakespeare wrote "Age cannot wither her, nor custom stale / Her infinite variety"
ADLAI	Two-time loser to Dwight
DANCE	Jive, e.g.
TENGALLON	Kind of hat
PEACE	Tranquility
ABYSS	Deep gulf
SET	Geared up
NEEDS	Isn't complete without
