SCATHE	Blister
SSMINNOW	It was shipwrecked in 1964 somewhere in the South Pacific
CORLEONE	Crime family name
ATTESTED	Bore witness (to)
THO	Le Duc ___ (Nobel Peace Prize refuser)
HEAP	Bucket of bolts
ENDON	___ a high note
WHOVILLE	Dr. Seuss story setting
WAITFOR	Have in prospect
HUSHUP	"Quiet!"
ORION	Constellation with the star Betelgeuse
VETS	Kerry and McCain, e.g.
IVS	"Grey's Anatomy" hookups
LOAFER	Good-for-nothin'
LIFTED	Stolen
ERECTS	Builds up
SOTHEN	"Anyway, after that ..."
AUREVOIR	Parting words
MRTOAD	Fop in "The Wind in the Willows"
ISITSAFE	Memorable "Marathon Man" query
ILE	Réunion, for one
PORTHOS	One of a French literary trio
ROGET	Doctor often seen on writers' bookshelves
FTC	National Do Not Call Registry org.
NESS	1987 Costner role
SILICON	Element used to make semiconductors
NOFUN	Like a wet blanket
MEET	Cross
MAYISEE	Potential buyer's question
NOTIT	Untagged
TIDES	Destroyers of many castles
GOP	Bush league?
SARDS	Reddish-brown gems
SAJAK	Three-time Emmy-winning game show host
ONELINER	"If you shoot at mimes, should you use a silencer?," e.g.
NIL	Zero
BAY	Plane part
BUD	Mac
WEDIDIT	Celebratory cry
JUJITSU	Literally, "art of softness"
JOANN	Title girl in a 1958 hit by the Playmates
THEALAMO	Historic mission
SOPRANOS	Crime family
UPSSTORE	Popular boxing venue
CEL	Animation bit
SODASHOP	Popular teen hangout, once
SEABEES	Military construction crew
SHOOS	Drives away
SCALDS	Burns
HOLEUP	Lie low
ONLATE	Like postmidnight TV shows
PEA	Item on a vine
PRIMER	Furniture cover
KEEPS	Doesn't spoil
CONN	Fifth state to ratify the Constitution: Abbr.
GRANT	Study aid?
GENRE	Art class
TIRED	Played out
EARS	Where you can find hammers and anvils
ALL	Beginning and end of 20-Across's motto
LEIBNIZ	Philosopher who coined the phrase "the best of all possible worlds"
LOFT	Converted housing
ZONE	Man-to-man alternative
LAT	Muscle strengthened by a pulldown exercise, in brief
LEANONME	1989 film set in an inner-city high school
NYC	U.N.'s home
ROMANO	Cheese type
MAP	Word with weather or world
DUTYFREE	Like some airport purchases
ENAMOR	Charm
SPECTERS	Spirits
DEPOSE	Boot
