SHABBIER	Not so fine
SPACEMEN	They may be encapsulated
HARDLINE	Unswayable
ATMCARDS	People swipe them
BBB	Co. watchdog
BOAR	Animal that killed Adonis
IONIC	Like some chemical bonds
ENDORSE	Sign at a bank
RESTUP	Prepare for big things
PACIFY	Soothe
PARCHEESI	Game with a cross-shaped board
ALOT	All the time
CID	Div. of Scotland Yard
ICEDUP	Jammed, in a way
FINITO	Over, slangily
YATSEN	Sun ___
PATBOONE	Singer with the #1 hit "Don't Forbid Me"
ALICIA	Cher's portrayer in "Clueless"
ARMBANDS	Team captains' accouterments
RODENT	Lab test taker
CDC	Org. that handles outbreaks
RIOTACT	Lengthy reproval
ASIF	Phrase spoken by 16-Across
DIS	Run down
ELAN	High spirit
NEWTONS	Units of force
CRUSH	Rush-hour subway phenomenon
CUTE	Puppylike
CUTICLE	Manicurist's concern
MIRED	Stuck
DILLS	Deli jarful
SPIESUPON	Surveils
SEUSS	Children's doctor?
ENDWISE	How movers might move a sofa
SEATBELTS	They may contain riders
FEET	Pedal pushers
NESTLE	Get close
SUISSE	Tour de ___ (bicycle race)
SMARTSET	Sophisticates
SAYGRACE	Get ready for dinner, in a way
ENSOULED	Full of spirit?
OLAF	N.H.L. goalie Kolzig
FAUN	Man/goat
DISCMAN	Sony product
DENTYNE	Breath freshener since 1899
DOWNSTATE	Toward the southern border
DODGED	Got out of
OLDAGE	Gerontologist's study
WETMOP	Janitorial tool
TREMOR	Pre-eruption warning
SLAYS	Does in
OLES	Ringside shouts
BURNT	Not just well-done
TIGER	Woods in front of a field?
ERGO	Sum preceder?
DDT	Chloral derivative, for short
GENETIC	Kind of code
GOSH	Beaver damn?
CAPO	Underworld higher-up
TRU	1990 Broadway biographical play
GAMBOL	Cut capers
BIT	It's boring
MYGALSAL	In song she was "a wild sort of devil, but dead on the level"
LIU	Bklyn. campus
EGOIST	Number one advocate?
ONEPIECE	Leotard, e.g.
DEPTHS	Core
REROUTED	Shunted elsewhere
