MAPS	Aids for treasure hunters
METO	"Take ___ your leader"
ALEC	Baldwin of "30 Rock"
POLEMICAL	Tending to cause an argument
SILLYME	Words before "And here I thought ..."
PRATE	Babble on
PLETHORA	Great deal
ROM	CD-___
AROAR	Clamoring
TARPIT	La Brea attraction
EXETER	University attended by J. K. Rowling
BABA	"Ali ___ and the 40 Thieves"
BOB	___ for apples
AMOCO	BP partner
BAYOU	Louisiana waterway
ANDOR	Compound conjunction
ELOI	"The Time Machine" people
LORAX	Environmentalist in a Dr. Seuss story
OMAN	Muscat's country
TELLMEMORE	"Yes, go on"
MOCS	Comfy footwear, for short
BOYD	William ___, Hopalong Cassidy player
OCELOT	Spotted cat
APTS	Supers oversee them: Abbr.
SAUER	Like some Kraut
COO	Dove's sound
MYCHERIEAMOUR	1969 Stevie Wonder hit
ENCY	Suffix with depend
MED	Club ___
CRIMSON	Harvard color
CLOD	Dummkopf
RAVE	Four-star review
TRUE	T on a test
LACE	Wedding dress material
RCA	Sony rival
AMP	Electric guitar need
EDSEL	Famed '50s flop
STEVEDORE	Longshoreman
EASE	Simplicity
LOTS	Auction groups
OVA	Eggs in labs
JAYMOHR	Former host of TV's "Last Comic Standing"
JAPAN	Where Mount Fuji is
OREM	Utah city
HONOREES	Toast recipients
TAO	The way, in philosophy
DELTA	"You'll love the way we fly" airline
TAJ	___ Mahal
PRO	Con's opposite
FEST	Suffix with Oktober
FIREMAN	What many a young boy wants to grow up to be
APAR	On ___ with (equal to)
AMALIE	Charlotte ___, capital of the U.S. Virgin Islands
RIVALS	Coke and Pepsi, e.g.
ENDIVES	Salad greens
DOER	No idle person
BENJAMINMOORE	Big name in paint
BLITZ	Fast-moving attack
EERIE	Hair-raising
NAILS	Tough as ___
NYMET	Citi Field player, for short
LEA	Meadow
NAVY	Dark shade of blue
REEDIT	Go over again with a blue pencil
IONA	New Rochelle campus
TROT	Horse's gait
IRIS	Eye part
SET	Card game based on matching groups of three
LAMMERMOOR	Location in a Donizetti opera
MNO	Letters after L
TILE	Scrabble piece
ILENE	Actress Graff
ARNO	Florence's river
ZEST	Lemon peel
ESTOS	These: Sp.
NEAT	Without ice, as a drink
