WEST	Wild place?
WORST	Defeat
ENOCH	Methuselah's father
SETAE	Stiff hairs
TREMBLERS	Terrified ones
ICI	Here, elsewhere
INSIST	Be firm
COQ	Rimsky-Korsakov's "Le ___ d'Or"
ISUZU	Maker of the Amigo S.U.V.
HARARE	Zimbabwe's capital
HILDA	Poet Doolittle
AROAR	Thundering
RAF	The "so few" of 1940: Abbr.
ANA	It makes men mean
RIP	Shred
ESP	Second sight
TEAM	Plow puller
TROVE	Lucky strike
EAVED	Like some roofs
AJAR	Cracked open
MALT	Oast filler
ONER	Doozy
NOSE	Narrow margin of victory
EEEE	Extra-wide
IRANIS	They may come from Qom
RAJA	Big Indian
ROTE	Dull routine
SQUEALOFAPPROVAL	"Good Stykeeping" award?
ALS	Unser Jr. and Sr.
REDS	McCarthy's quarry
SCAMPI	Garlicky dish
PAULA	Comedian Poundstone
ZELDA	Princess of Nintendo games
EVERT	Three-time Wimbledon winner
THEBASQUESARELOADED	Report from a Pamplona beer bash?
QED	Logician's abbr.
ELIOT	"Middlemarch" author
LAMAS	Priests
OMAHA	City named for an Indian tribe
APTS	Classified listings: Abbr.
LUTE	Relative of a mandolin
LAMPS	Some are wicked
ANGEL	Financial backer
ASHY	Far from ruddy
NCAA	March Madness org.
GAWK	Stare, like a tourist
DUHS	Simps' syllables
UMEKI	Oscar-winning actress Miyoshi
HAVEN	Sanctuary
SOEUR	Frère's sibling
AIMAT	Shoot for
ANI	Singer DiFranco
ZEBU	Humped ox
ZUNIS	Pueblo builders
EATS	Diner sign
BRIT	Jolly old chap
UKES	Instruments from 119-Across
SCARAB	Gem symbolizing the soul
BARQS	Root beer brand
MAO	Kind of jacket
NOAHSQUARK	Biblical particle?
QUERY	Express doubt about
HAWS	Fumbles for words
ALEVE	Popular analgesic
LOU	Rock's Reed
ITSA	"___ boy!"
UNTIE	Set free
YAK	Chew the rag
BROKEUP	Burst into laughter
BARBQ	Sauce style
PEZ	Kind of dispenser
DEISTS	Franklin and Jefferson, for two
DEFOG	Clear, in a way
PAQUINRELIEVERS	Understudies for a star of "The Piano"?
POMES	Apples, e.g.
LOCAL	Townie
IMAGE	Pol's concern
EBSEN	"Barnaby Jones" actor
VII	Numeral in a Uris title
RAZORS	Nickers?
RAFT	Slew
ABIE	Anne Nichols hero
ZONE	Stop listening, with "out"
ZOMBIFY	Bring back to life, in a way
TAN	Whup
TOLD	Related
APIG	Eat like ___
NICE	"Great shot!"
ABOMB	Oppenheimer development
PTAS	Elhi orgs.
PARIS	Romeo's rival
TRACY	Wrist-radio wearer
ATSEA	Befuddled
SSS	Onetime lottery org.
CASIO	Timex competitor
HOPI	Kachina doll carver
HEADHUNTS	Recruits, in a way
FINEQUARTS	Containers of gourmet ice cream?
UCLA	Troy Aikman's alma mater
AGE	Application blank info
GAELIC	Scottish ___
ABETS	Encourages
TEES	Souvenir buys
CRASS	Coarse-grained
LENT	Fast time?
TAW	Espied, to Tweety
BADGE	Symbol of authority
SLICE	Pizzeria order
SEEM	Appear
ABED	Not up
BOURNE	"The ___ Identity" (Ludlum novel)
QUEASYASONETWOTHREE	Feeling ill, simply put?
QUAID	Actor Dennis
USLTA	Court org.
SATIE	"Socrate" composer
OPHIR	Biblical land of riches
NIE	Never, in Nuremberg
ESPN	Nascar broadcaster
THOUS	Big bills
RAOUL	"Le Bestiaire" artist Dufy
ELENA	"Uncle Vanya" woman
ESSAY	Blue-book filler
AMUSE	Divert
AQUA	Light hue
MUNI	Certain bond, for short
APISH	Silly
USUALS	Regulars' requests
QUALMSFORTHEPOOR	Uneasy feeling regarding have-nots?
SHE	Any ship
FAA	Regulatory org. since 1958
OWS	Injection reactions, maybe
RAT	Maze runner
ONT	Where Windsor is: Abbr.
NOES	Thumbs-down reactions
UNIT	Complex division
HAWAII	The Sandwich Islands, today
NUNN	Georgia Senator until 1997
TUNA	Yellowfin, e.g.
AIDA	The King of Egypt sings in it
EASTER	91-Across ender
STE	Véronique, e.g.: Abbr.
SLAY	Cut down
