BACKBITER	Scurrilous critic
BEEFALO	Low-fat meat
ACROBAT	Flipper
CORRUPT	Taint
KNOTTS	Fife player
BORES	Snoozers
ILLS	Unhappy happenings
TIECLIPS	Some jewelry for men
ENSUITE	Forming a series
RESENT	Bristle at
CROAT	Dalmatian, e.g.
CHAPARRAL	Thicket
RUSH	Bungee jumper's feeling
OTTOMAN	Part of a living room set
ACETATE	See-through sheet
THRONES	King-sized furniture?
ECONOLINE	Popular Ford van
HUTCH	Coop
ERRORLESS	Perfect
ASTER	Provider of fall color
FORTESCUE	English jurist who wrote "De laudibus legum Angliae"
PHOTO	It can be taken on a trip
ABUTS	Touches
LINDA	Oscar winner Hunt
DECALS	Models may have them on
MAN	"I can't believe it!"
LAPS	Swimmer's routine
LITTERMATE	Any in a group of puppies
LOUNGE	Airport area
MOM	Soccer ___
OTT	Master Melvin of baseball
POPE	"Fools rush in where angels fear to tread" writer
PLAYGOERS	Theater audience
CRONES	They're not pretty
PLUS	Good thing
POD	It's side-splitting
MAAM	Sir's partner
MEMENTOS	Locks of hair and such
OHIOAN	Orville or Wilbur Wright, e.g.
OCANADA	Song that ends "We stand on guard for thee"
HAVEFUN	"Enjoy yourself!"
INAWORD	Briefly
CELL	Kind of phone
CASINOS	Houses with decks
SAD	Low
SANJOSE	First capital of California
ALIASES	Things to hide behind
DEAREST	Sugar substitute?
CANDYGRAMS	Messages of love and kisses?
REGIME	Ruling body
TALE	Scheherazade's lifesaver
TARPIT	Fossil preserver
AVA	Actress Gardner
GEESE	Ninnies
MANIA	Enthusiasm gone too far
MERRY	Blithe
NEWTO	Unfamiliar with
TREE	Family ___
GINGERJAR	Wide-mouthed porcelain container
GENA	Actress Rowlands
AFORE	Previously
INTERPOSE	Situate between
DURER	Engraver Albrecht
MOONRISES	Lunar phenomena
ANDES	Company that makes a mint
ESSAYTEST	History final, maybe
