ICES	Frozen treats
IDEAL	Perfect
CINCO	___ de Mayo (Mexican holiday)
ESTER	Fragrant compound
SHRINK	Psychiatrist, slangily
BALM	Soothing cream
BEAT	Regular drumming
ASCH	Author Sholem
LADE	Put on board
MUCHOF	Not quite all
SWORE	Cursed
SMOLDER	Burn without a flame
WAGE	What a worker earns
OYL	Popeye's Olive ___
ROE	Fish eggs
ERR	Mess up
DISH	Chef's serving
ESAU	Seller of his birthright, in Gen. 25
MAYOR	Hizzoner
ENTR	___'acte
ACDC	Flexible, electrically
OGLER	One with an amorous eye
ACEINTHEHOLE	Hidden advantage
NAIL	It's on the tip of one's finger
ORB	Globe
LORNA	"___ Doone" (romance)
ORD	Run-of-the-mill: Abbr.
ASA	Gentle ___ lamb
ASSET	Winning smile, they say
STENO	Dictation taker
ASSAY	Test mineralogically
KINGOFBEASTS	Lion, by tradition
NAM	"Platoon" setting
GIA	Actress Scala
ORDER	Opposite of chaos
AOL	Netscape's owner
IFS	Maybes
IRAQI	Baghdad resident
FOCUS	Concentrate
SORER	More achy
LAIR	Den
ROSES	Run for the ___ (Kentucky Derby)
ROOF	Shingle site
FEE	Lawyer's charge
MADAM	Lady's title
ADA	Letters on a toothpaste tube
MAD	Irate
LENA	Singer Horne
ACRES	Farm measures
SNEAKER	Athletic shoe
EDAM	Dutch cheese
MAYI	"___ help you?"
TOY	Yo-yo or Gobot
QUEENFORADAY	1950's-60's game show
FTC	Agcy. that promotes fair competition
OAKLEY	Markswoman Annie
YEMENI	Sana'a native
ISR	Neighbor of Syr.
ETA	Second letter after epsilon
YEAST	Dough leavener
ABBES	French clerics
SLATE	List of candidates
TENSE	Not relaxed
JACKBENIMBLE	Start of a nursery rhyme
JADE	Green gem
BALE	Hay bundle
EMMA	Jane Austen heroine
NESS	Loch ___
NOVAK	Actress Kim
NOD	Sign of approval
OXO	Losing tic-tac-toe line
VIZ	Namely: Abbr.
LAME	Hobbling
EBAN	Israel's Abba
OXIDE	Nitrous ___ (laughing gas)
ELMS	Shade trees
NETS	New Jersey hoopsters
DOZER	Light sleeper
YEAS	Affirmative votes
ISEE	Understanding words
