LIAM	Novelist O'Flaherty
LABOR	Part of a mechanic's bill
INURE	Accustom (to)
ATLAS	Someone with a lot on his shoulders
MILLIWATT	Tiny power unit
VALES	Where streams run
VACATED	Left
AGONIES	Tribulations
LORENZ	Songwriter Hart
ERR	Misjudge
SAUNA	Luxury hotel feature
APBS	They're sent out from HQ
ARIOSOS	Some operatic songs
PINOTS	Dry red wines
BEG	Solicit
SLATS	Airplane wing extenders
CHIC	With it
CHINO	Material for uniforms
HANGONTO	Keep
IHEARYOU	Simpatico reply
CAR	Beetle, e.g.
ANTI	Detractor
AGORA	Ancient marketplace
ARIEL	"The Tempest" character
ATBEST	If everything goes right
HAHA	Response to a gag
BULL	Kind of market
CORRUPTINGAMINER	Gold digger seduces a different kind of gold digger, gets charged with ...
PAR	Norm
MOP	Swabber
ORAL	Like some surgery
ANE	Hydrocarbon suffix
NABOO	"The Phantom Menace" planet
TONGA	South Seas kingdom
RESISTINGAREST	Cramming student takes Vivarin, gets charged with ...
SHROUD	Hide from view
GETIN	Arrive
SPOORS	Hunts by tracking
SEPT	Natl. Courtesy Month
WHEEZE	Old joke
SOSA	One of Maris's overtakers
ANAISNIN	Novelist in a relationship with Henry Miller
NYE	1920's-40's North Dakota senator Gerald
UPWARDS	Above, with "of"
UPDIKE	Author of the #1 best seller "Couples"
PRICED	___ to move
WASHED	Now clean
TESTS	Hospital jobs
ERG	Bit of a joule
SETSAPART	Isolates
NONSTOP	Incessantly
OWE	Be behind
NICK	Shaving injury
STEEL	Brace
PRATO	City near Florence
WIRE	End of a footrace
WINGTIP	Fancy shoe
SAWITOUT	Didn't quit in the middle of a job
SPOILER	Auto option
DISTURBINGTHEPIECE	Chess player accidentally pushes pawn, gets charged with ...
RAH	Noise from a fan
BRISKEST	Most peppy
HIC	Minute Maid product
ELK	___ Grove Village, Ill.
ICH	Freud's I
DARN	"Nuts!"
SILOS	Towers over the field?
KEMPT	Well-groomed
MOTION	One may be on the floor
PLANKS	Flooring, maybe
TARGET	Wal-Mart competitor
KEEL	Nautical centerpiece
LIBRA	Well-balanced person?
HIGHJACKING	Monster truck driver changes flat tire, gets charged with ...
HON	Sweetie
JOG	Nudge
GAT	What a mug might hold
LOLA	"Run ___ Run" (1998 film)
EDDIE	Actor Albert
ERST	Formerly, once
STOOP	Sitting spot
LIAR	Fiction enthusiast?
RECANT	Change one's tune
TAR	Road sealant
BRAKINGANDENTERING	Motorist pulls into parking lot, gets charged with ...
ATE	Partook of
NEO	Prefix with realism
DANTE	"De Vulgare Eloquentia" author
ROISTERED	Painted the town red
OVERSTEP	Go too far
OFFS	Kills, in slang
VITTORIO	"The Bicycle Thief" director ___ De Sica
EXPONENT	Square figure?
REAR	Care for
COOKE	New York archbishop before O'Connor
FIXATES	Obsesses
ASTON	___ Martin
AROUSES	Foments
STURDY	Well-built
AGAINST	Competing with
ALFONSE	Ex-Sen. D'Amato
GOINGIN	At the outset
FTP	Way to send docs. electronically
TART	Dessert for one
ACTSON	Affects
TALONS	Grabbers
ARTIST	Conservatory graduate
STOLID	Unemotional
LICKS	Some jazz improv
ICK	"How awful!"
DELHI	Site of Shah Jahan's Red Fort
COUNTERFITTING	Patron squeezes into crowded luncheonette, gets charged with ...
NOR	Hide-hair connector
TWIRL	Play with idly
IMAGE	Public persona
NIKON	Popular camera
GLESS	Actress Sharon
ONICE	Not being used
TUROW	"Presumed Innocent" novelist
TON	Big load
EMIL	Czech runner Zatopek
WRECKLESSDRIVING	Cabbie avoids accident, gets charged with ...
WOP	Doo-___
EON	Time on end
VOA	Cold war broadcaster: Abbr.
RAKE	Libertine
OINK	Sound on Old MacDonald's farm
HOOEY	Bunk
ROSSI	Martini's partner
EGOS	Freud's I's
POTS	Gardening supplies
INNS	Days ___ (highway sights)
LATEN	Grow dark, perhaps
DENS	Reading areas
