BASSI	Met men
BOBBIN	Thread winds up on it
ALLURE	"It"
SEARED	Pan-___
SACS	Bursae
INKAD	Stamping need
MESH	Coordinate closely
MAP	Captain's aid
ESPY	Behold
SHEAR	Give a buzz
HERZOG	Israeli president, 1983-93
BLAS	Gulf of San ___, east of the Panama Canal
BLOCKARTY	Reason to close off a city street
LIMPIDLY	In a clear manner
ANNALEE	Late actress who was on "General Hospital" for 25 years
SKI	Have a peak experience?
OLEAN	Ingredient of Wow! potato chips
ASHE	Contemporary of Rosewall
LINK	Something a computer user may click
BLACKEPPER	It may go through the mill
EROTIC	Generating heat
OMNI	Directional lead-in
BURSAR	College V.I.P.
YAZ	Bosox nickname
CPA	Assets mgr.?
IRE	Boiling blood
DOM	Suffix with free
MINH	Viet ___
ROCKILE	Geological formation
CLAUS	Seasonal name
ESS	Part of a car test course
NED	Jarrett of Nascar
TIS	Carol contraction
STEPS	Dance makeup
GLADES	Clearings
PAINT	Decorative coat
PICKOCKET	Twist, after training
ATEIT	Took the loss
ARLES	Van Gogh locale
KITCHENDUTY	Base assignment ... or an apt title for this puzzle
KIRIBATI	Republic on the Equator
NOAH	One issued a flood warning
DETEST	Want absolutely nothing to do with
SLICE	Bad stroke
SPA	Pool site
LOBBERS	Smashers' opposites
POESY	Verse composition
PORKIE	It may be felt on the head
EISNER	Mitchell replaced him as Disney chief
SAT	Was on the bottom?
JUG	Water holder
JACKOT	Vegas visitor's vision
UNEASE	Malaise
GARNER	Earn
ABIOTIC	Lacking life
CUOMO	Clinton cabinet member
HES	Tenors and altos
SPINE	It can be tapped
ANA	Collector's suffix
BBC	Home of TV's "Doctor Who"
SUE	Try to get money from, maybe
ENID	Markey of Tarzan films
SPICER	Merchant with a scented shop
ICON	Something a computer user may click
TEAK	Shipbuilding material
TEA	Picker-upper
NONSTICKAN	Cook's convenience
STE	Lady with une auréole: Abbr.
ERTE	Designer for Lillian Gish and Anna Pavlova
EMIT	Let out
NOOSE	Potentially deadly loop
ASIT	___ stands
RODE	Used to get around
ENTER	Big key
