PRES	Corp. honcho
PARA	Jumper, briefly
REAM	Enlarge, in a way
ESME	Salinger dedicatee
SOBBER	Lamenting one
MOROS	Some Filipinos
MSN	Common Internet letters
OARS	Bireme gear
RIOT	Sidesplitter
ONSPEC	With no guarantees
STEADED	Was of use to
GUN	Starter's need
GOPLACES	Make it big
UNA	___ corda (music marking)
NESTOR	Trojan War sage
MORK	TV alien
MALLEABLE	Like pure gold
OSHA	Dept. of Labor div.
ROUT	Romp
KNEE	Place for a pad
AESOP	Storyteller of Samos
PLAYDATES	After-school arrangements
SAINT	Virtuous sort
ONESEASON	Duration of many a TV show
STONED	Punished, in a way, in the Bible
EEOC	Fair-hiring org.
RAMBLINROSE	Wine that causes incoherent talk?
ISR	U.S. ally since '48
PASTELHUE	Vietnamese city painted in soothing colors?
AMEBAS	Pseudopod formers
STPAUL	Capital on the Mississippi
UNRIPE	Green
TOOLATE	"Missed it!"
EYRE	Literary governess
ECU	Old five-franc coin
EDNA	Girl's name that's a Texas county seat
ONCE	Second word of many limericks
SNERD	What a dummy!
SLOT	Place on the schedule
NAPA	Auto parts giant
EXITENMASSE	Trick shot that knocks the balls off a French pool table?
CANCERCURE	French priest born in early July?
ATWILL	Freely
NEARED	Drew nigh
USIA	Old "public diplomacy" org.
AGER	Worry, it's said
GOODOLEBOYS	Enthusiastic cheering section at a bullfight?
ENTIRE	Unbroken
RESTED	Just back from vacation, say
LAX	Calif. hub
ACUTE	Not quite right?
CEREBRA	They do the thinking
DIES	Mint hardware
DEBONE	Fillet
EBRO	River whose delta is Cape Tortosa
OPIATE	Poppy derivative
ALAS	[sigh]
WAC	W.W. II-era enlistee
CANI	"Please?"
PSIS	They're trident-shaped
SCOT	St. Andrews golf club member
BLOTS	Dries, in a way
TATLER	Popular British society magazine
IRATE	Steamed
TONGA	Pacific kingdom
ACCREDIT	Authorize
CRESTED	Like a cardinal
EASE	Life of ___
LENO	Monologist of note
ORO	Start of Montana's motto
ORE	Source of iron
OWNS	Defeats regularly, in sports lingo
ONTIME	Promptly
WIESEL	Peace Nobelist called a "messenger to mankind"
BALDINGPATE	Cracker spread that's a little sparse on top?
ASTO	Concerning
GIVE	"Had enough?"
PRESTO	Lively tempo
ALDERS	Catkin bearers
BLED	Shook down
BEER	Kind of blast
NIM	Game with matchsticks
SRS	Yearbook sect.
SMEE	J. M. Barrie pirate
GIRL	Brownie, e.g.
SWEE	___' Pea
WINEGLASS	Flute, e.g.
TEAMMATE	Dasher, to Dancer
MUSCATELS	Sweet after-dinner drinks
ELSE	Additionally
CAVED	Gave in
COMEON	"You've got to be kidding!"
TIEBAR	Haberdashery item
ABET	Lend support to
RENE	___ Coty, predecessor of Charles de Gaulle
ISSUE	Put out
OLEO	It melts in your mouth
EARCANDY	Simple, pretty songs
ESE	Journal add-on?
ENROBE	Attire
MESSED	Bungled, with "up"
DOTERS	Grandparents, often
SAME	Common order, with "the"
EXPIRED	No longer good
TRADE	Bit of sports news
AES	He hoped to succeed H.S.T.
YEN	Foreign exchange option
ELEC	Kind of engr.
OVEREXPOSE	Discontinued investigative series?
VISAED	Authorized to travel
PAMELA	Actress Anderson
GESTE	Chanson de ___
EELPOT	Fishing gear with fine mesh wire
ALTI	Some choristers
LUBE	Garage job
COPA	Spot in a Manilow tune
SALE	Ad headline
ASE	Enzyme suffix
STATUES	Centers of squares, maybe
SLAB	Simple headstone
TAPE	Put on record, but not actually on a record
AMPS	Intensifies, with "up"
ANIMAL	Brute
ASIN	Clarifying phrase
LUTZ	Rink leap
SALAMI	Deli offering
AERO	Sleek, for short
MERL	Jazzman Saunders
IDYL	Tranquil scene
LAMEBRAIN	Expert in ornamental fabrics?
IER	Suffix with front
RESUMESPEED	Rate at which a personnel manager works?
MEA	Apology starter
APPLESEED	Orchard starter
ELITE	Cream
SORRY	"Not my problem!"
BESS	1940's first lady
DRY	Rehabilitated, in a way
DANZA	Boxer-turned-actor
TOLL	Ring
