APLUS	Top-notch
APSES	Half-domed projections
PIQUE	Provoke
LAURA	Hillary's successor
UNA	Italian article
SOS	"Help, quick!"
GRAB	Capture the attention of
GROSS	"Ew-w-w!"
RANK	General, e.g.
AGE	Actuary's datum
BUSDEPOT	It's the end of the line
TWOD	Lacking depth
THANK	"___ God!"
WINDSCALE	Beaufort, for one
OLDE	Like some shoppes
DOSE	Teaspoonful, maybe
PIANO	It might be grand
RAGU	Newman's Own competitor
HILO	Southernmost U.S. city
SQUASHONESHANDS	Press some flesh?
HASP	Lock holder
HUES	Rainbow display
EUR	Where It.'s at
ASK	Call upon
DUNDEE	Firth of Tay port
SEAMOSS	Red algae
MERTZ	Ricardo's landlord
OSAY	Anthem starter
SEEKS	Tries to reach
SUSAN	Maine senator Collins
ESP	Clairvoyant's gift
SUPS	Takes some courses?
SPURN	Brush aside
CAV	Cleveland cager, for short
APBS	P.D. alerts
VEST	___-pocket (tiny)
INTRA	Part of IV
IFAT	"___ first you ..."
NOTA	"___ chance!"
TROJANWAR	Conflict provoked by Paris
IPSO	___ jure (by law)
IQUIT	Employee's angry cry
CAPE	Massachusetts vacation spot, with "the"
CUTEX	Nail polish brand
FORTYSQUATBULBS	Two score of low, thick lilies?
STOPSOFF	Pays a quick visit
BAIO	"Charles in Charge" star
ATOZ	The works
TURN	Go bad
ATEST	Alamogordo event
TAJ	Noted casino, with "the"
JOIN	Solder, say
JOLT	Big buffet
PIE	Pizzeria output
PROS	N.F.L., e.g., with "the"
ADOPT	Take in
DANNY	Partridge Family boy
PROXIMA	___ Centauri (closest star to the sun)
PEETE	Calvin of the P.G.A.
ILIAD	Tale of the 34-Down
MARIA	Santa ___
AXELS	Jumps on the ice
ANNALS	They're history
ADIN	Game point situation
NOVA	Bagel stuffer
CEO	Fortune cover subj.
CHEZ	___ Panisse (restaurant)
LAX	Left Coast baggage tag
DOWNTOTHESQUIRE	Directions for a basement escort?
TEA	Brewer's brew
QED	Proof letters
UMA	Thurman of "The Avengers"
IVAN	Nobelist Pavlov
FEET	They're found in yards
EMAIL	Spam, maybe
NARY	___ a soul
FAZE	Unnerve
DADAS	Bits of baby talk
