ROSS	Supreme Diana
RAPT	Undivided
OSLO	Norse capital
SHUN	Blackball
SEMIS	Common carriers
HIRAM	Distiller Walker
HASSLE	Pain in the neck
ILL	Hurting
ROAM	Wander
ANNE	Author Rice
MEDS	Club ___ (resorts)
AQUA	Shade of blue
APRIL	Blooming time
QUEASINESS	Funny feeling
UTAH	Neighbor of 27-Down
ASPS	Nile creatures
ASHE	1975 Wimbledon winner
ALONE	Solo
PUTS	Plunks (down)
PLUMISLAND	Summer resort off the coast of Massachusetts
ICEMEN	Old-time deliverers
REAP	Bring in
TONICS	Elixirs
MESSIAHS	Saviors
SAS	Carrier to Stockholm
SELA	Ward of "Sisters"
AMPERE	Current name
ALS	D'Amato and others
SIL	The "S" of R.S.V.P.
SALTS	Smelling ___
IDAHO	The Oregon Trail crossed it
LOVEPOTION	Aphrodisiac
MEMPHIS	Elvis's home
PARER	Cutter
HISSER	Many a snake
IRA	Recipient of annual contributions
IAN	"At Seventeen" singer Janis
ACTED	Didn't dillydally
NESTS	Hatching places
ADOBE	Hut material
BEE	Spell-off
PAIR	Two socks
ONCE	On a single occasion
OHS	Sounds of surprise
LAVENDERSACHETS	Scented pouches
DOT	Precise moment
CASSIE	"A Chorus Line" girl
THEE	Quaker's "you"
ORES	Mine extracts
ASSET	Balance sheet item
SOP	Make soaking wet
STEREOS	Sound systems
SSR	Ukr., once
OUTLET	Means of release
SDS	60's radicals: Abbr.
ORS	Surgery sites, for short
RHINO	Safari sight
RUSE	Jugglery
EARED	Dog-___ (well-worn)
ENTHRONE	Make king
EVIL	Fiendish
NITE	Evening, in adspeak
OPEC	Intl. acronym since 1960
NULL	Not valid
ERIE	Toledo's lake
TIARAS	Regal headwear
RAZE	Bring the house down
AIRE	Billion follower
SNAP	Ginger cookie
VIII	Henry ___
PURPLERAIN	1984 Prince hit
PTA	Org. looking after kids
ITON	Have ___ good authority
ELITE	Cream
EZRA	Book after II Chronicles
LENO	Late-night regular
CLEAT	Athletic shoe feature
DEEP	Hard to fathom
