FLAG	Stars and Stripes, e.g.
FESS	Admit (to), with "up"
LAPP	Reindeer herder
AREA	Geometry calculation
GLADTO	"My pleasure"
FOCI	Places where lines meet
FRO	Black power hairdo, for short
OAF	Dunderpate
CITY	The "C" in N.Y.C.
INHALF	Divided 50/50
SALUT	French greeting
SADSONG	Dirge
ALE	Schooner fill
LOVELETTER	Billet-doux
UNITE	Join
TELEX	Old message system
EARL	___ of Sandwich
RAIN	Cause of a game cancellation
ALONE	Unaccompanied
SPEAKOFTHEDEVIL	"Here he is now!"
KEENS	Wails
EPEE	Dueling sword
SPADE	Black card
YAPS	Talks one's head off
ETE	French summer
TEAS	Twinings selections
ATOP	Perched on
SHAH	Deposed Iranian
LEO	Sign before Virgo
LEX	Big Apple ave.
SITONTHEFENCE	Be undecided
SAGA	"Roots," for one
ISLE	___ of Wight
THISSIDEUP	Message on a shipping crate
EPOCH	Geologic time unit
COO	Pigeon's sound
ASH	___ Wednesday
SOAP	Suds maker
GOTON	Mounted, as a horse
OTIS	Big elevator manufacturer
NONE	___ too soon
GLIB	Talking maybe a little too fast
BOT	Droid
PHOTO	Snapshot
TIER	Wedding cake feature
ORCA	Killer whale
OTTO	Sgt. Snorkel's dog
AESOP	Fable writer
PARTIES	Republican, Democratic, Green, etc.
CIRC	No. on which a magazine's ad rates are based
COMIC	"Luann" or "Blondie"
EIN	Freudian one
STAYTHECOURSE	Persist to completion
YORE	Knight time?
TWENTY	A score
UPSHOT	End result
EPI	Prefix with center
ECOLE	French place of learning
POBOX	Mail receiver, in brief
ROW	Column's counterpart
RAMP	Interstate entrance or exit
COD	Fish after which a cape is named
TREE	Logic diagram
ECHO	Repeat
ISLIP	Long Island airfield town
LOCH	___ Ness monster
IOTA	Itsy-bitsy bit
PLOW	Winter truck attachment
OBEDIENCESCHOOL	Command center? ... or where you might hear the starts of 17-, 28- and 49-Across
DIO	God, in Italy
EEG	Brain scan, for short
SEA	Bounding main
LOUIE	Nephew of Donald Duck
THEE	For whom the bell tolls, in a John Donne poem
OCTO	Numerical prefix with -ber
EXPOS	Bygone Montreal ball club
YOGA	Quiet exercise
THAW	Remove from the freezer
