SONAR	Red October detector
SAFE	Bombproof, say
OTIS	Big name in the 20-Across business
NARC	Undercover buster
AREA	Turf
RIAL	Iranian money
ATSEA	Mystified
ADDTO	Supplement
TUROW	"Presumed Innocent" author
SMART	Brainy
EPI	Prefix with dermis
AYN	Rand who wrote "Civilization is the process of setting man free from men"
USO	Support grp. for the troops
UTOPIA	Best of all possible worlds
SAVANT	Idiot ___
ORANGE	"High," in the Homeland Security Advisory System
ATARI	Pong maker
DUMPY	Hardly chic
TAR	Black goo
FIREANDRAIN	1970 James Taylor hit
NACL	Common crystals, chemically
OVA	Egg cells
ESCALATOR	See 2-Down
SPAN	Go over
SPLEENS	Body organs associated with anger
COWTIPPING	Mischievous rural pastime
IRAQ	"The Hurt Locker" setting
PERUSE	Browse
CAUSAL	Kind of agent
COD	Mail-order option
ARI	___ Gold, agent on "Entourage"
URN	Samovar
SINATRA	Singer honored on a 2008 U.S. postage stamp
ANEMIC	Lacking brio
RELATE	"I can ___"
ORRIN	Hatch on the Senate floor
BEWARE	Start of a dog owner's sign
BED	Flower's home
ETS	Frequent Weekly World News subjects, briefly
WIT	Wordplay, e.g.
DINNERETIQUETTE	Keeping your elbows off the table, e.g.
RICH	Full of calories
TOS	How-___
TOE	Nail holder
EKE	Just make (out)
AMIDST	Surrounded by
SNOOK	Basslike fish
STATIC	Complaints, informally
SCYTHE	Swath maker
THORAX	Chest
AUGUST	Lordly
LESSEE	Renter
LYNN	Boston suburb
CHURCHLADY	Classic Dana Carvey character, with "the"
LIEUT	Capt.'s inferior
ARNAZ	Ball's partner
DOILY	Valentine embellishment
YOGA	Eastern discipline
IRONSIDES	Bygone warship
SGTS	Capt.'s inferiors
IBET	"Ri-i-ight!"
DEAR	Sweets
ELSA	Designer Schiaparelli
SLEW	Ton
TRU	1989 play about Capote
OPENINGBELL	Sound of capitalism? ...or a hint to the starts of 17-, 22-, 35- and 46-Across
OUR	"___ Father ..."
PSI	Tire abbr.
HAS	Orders at a restaurant
USUAL	Restaurant order, with "the"
TEASE	Tempt
EXT	Bus. card info
RITZY	Luxurious
STRAW	Building material in "The Three Little Pigs"
