MARC	Cleopatra's love ___ Antony
MAIL	Pony Express load
ASTI	___ spumante
REEF	Coral ridge
CAMEO	Alfred Hitchcock film appearance, e.g.
WORD	Scrabble play
WAFFLE	Breakfast dish made on an iron
ORATOR	Patrick Henry, for one
RICH	Rolling in dough
DATE	Whom one goes out with
ESTEE	Cosmetician Lauder
ECLAIR	Cream-filled pastry
SHARP	Astute
TEST	Dry run
EASY	"No problem"
ETO	Ike's W.W. II command
ASEA	On the briny
ARIA	Verdi's "D'amor sull'ali rosee," e.g.
CHEAT	Con man
ITEM	List component
FACT	Datum
LASSO	Bronco catcher
LIFEOFTHEPARTY	Good-time Charlie
OSTEO	Bone: Prefix
PRELL	Suave competitor
OSLO	Norway's capital
RIP	Embarrassing sound, maybe
CAT	Mouse catcher
CAPON	Dinner rooster
AGILE	Like a gymnast
TACIT	Implied
TERRIER	Airedale, for one
REHAB	Recovery clinic
ILE	Suffix with percent
ASH	Volcanic fallout
ALTAR	Where "I do's" are exchanged
SNELL	Tackle box item
HARMS	Injures
AGATE	Playing marble
TKO	Ring result, briefly
ELL	Building wing
ULNA	Forearm bone
UTE	Indian with a sun dance
PICKOFTHELITTER	Best
FARGO	North Dakota's largest city
TRI	The first "T" of TNT
IRENE	"Goodnight" girl of song
OLIO	Mishmash
ARA	Coach Parseghian
REALM	Kingdom
NET	Fishing gear
TRIBUNE	Chicago newspaper
TATTER	Make ragged
USHERS	Wedding workers
NEEDLE	Pine leaf
RLS	"Treasure Island" monogram
SAG	Wilt
SLAVE	Spartacus, e.g.
SEND	Use Western Union, e.g.
DARTS	Pub game
SALTOFTHEEARTH	Noble one
SALE	December 26 event
ARID	Rainless
FREE	At no cost
TEAL	Dabbling duck
RAIL	Banister
TREE	Arbor Day honoree
HERD	Group of cattle
CARAT	Diamond weight
COS	Comedian Bill, to friends
REED	Bit of thatching
RARE	Like hen's teeth
OLIVE	Martini garnish
EARL	___ Spencer, brother of Princess Diana
TIER	Stadium section
SEDER	Passover meal
ELSE	"If all ___ fails..."
SLED	Child's Christmas gift
