MOOLAH	Scratch
MACADAM	Paving material
OCANADA	It's heard at some baseball games
OCTAGON	___ Building, landmark on New York's Roosevelt Island
LUC	Director Jean-___ Godard
ASH	Hair color
HEEDS	Takes to heart
INARUT	Bogged down
ITSY	Teeny
NOME	Iditarod terminus
ADIN	Server's edge
RAG	Duster
UTHANT	World leader elected in 1961
TETRIS	Hot 90's computer game
CARAFES	Claret containers
CAL	Old White House nickname
ATAN	___ advantage
RESISTS	Won't cooperate
ADAGE	"Time is money," e.g.
FIGHTTOBETIED	Struggle for a deadlock?
ERNO	Cube creator Rubik
STAN	One of the deer hunters in "The Deer Hunter"
ACCUSE	Charge
TODATE	So far
ATEDIRT	Swallowed humble pie
CATCHERSMIGHT	Battery power?
ROTS	Doesn't keep
LASAGNA	Layered entree
ANA	Gasteyer of "S.N.L."
DOYEN	Senior member
ARP	French collagist
POKING	Sticking (out)
NIGHON	Almost
DAG	Nobelist Hammarskjöld
DST	Certain clock setting: Abbr.
DENIABLE	Subject to disproval
ONION	Ring source
OHM	Physicist Georg
NIVEN	Phileas Fogg portrayer
SET	Go down
ADOBE	Hacienda brick
BAAL	False idol
SLIGHTSKIRT	Mini?
LIANE	Radio host Hansen
ICY	Very distant
GBS	Literary inits.
REDS	McCarthy's quarry
TRA	La preceder
RECLINES	Takes it easy
ARSENIC	Cause of Philip Boyes's death in a Dorothy Sayers novel
MANANA	Procrastinator's catchword
ARNIE	1970's sitcom
ICBM	SALT subject
IVES	American composer who pioneered in polytonality
OER	Done, for Donne
AIRWAYS	Vents
WITS	Cards
PANED	Like windows
PETIT	It means little to Chirac
AISLE	Congregation divider
ABCS	Elementary education
ADIT	Mine entrance
MELANIN	Skin pigment
MARGARET	Shakespearean queen
EMERGENCYKITE	Reserve flier?
DEIGNS	Stoops
DRAIN	Exhaust
DELE	Take out
SAM	Spade, for one
STARTLE	Shake up
BITEPARTS	Dracula roles?
PESTS	Raid targets
AMPAS	Oscars' org.
FITIN	Something nerds don't do
FREELOAD	Fail to pay the freight
TREBLES	Shrill sounds
BEES	Some contests
EMAIL	Screen writing?
MARTINI	Dry drink
MIEN	Comportment
ARGON	Fluorescent lamp filler
AGREE	Say yea
SPITEFIRE	Arson?
FLAGG	She wrote "Fried Green Tomatoes at the Whistle Stop Cafe"
EEC	Common Market: Abbr.
RAGE	Storm
FANTAN	Card game with a Chinese name
FARE	Food
AMAIN	Vigorously, of old
NAGGED	Played the shrew
LEGENDS	Hall-of-Famers
NAST	Democratic donkey designer
TRES	"___ intéressant"
AMASS	Get together
GRANOLA	Snack bar
GOO	Schmaltz
RON	Wood of the Rolling Stones
LEN	Cariou of "Sweeney Todd"
CRAG	Rock climber's challenge
CHANTER	Cheerleader, often
MOOG	Synthesizer pioneer
MSS	Work for eds.
NOSHES	Snacks
HOSTILE	Antagonistic
ELEANOR	"The Lion in Winter" queen
SLEIGHS	Sites for bells
ETC	And so on: Abbr.
HEIGHTSONGS	Yodels?
HANKER	Long
TRANCE	Deep thought
SWAP	Quid pro quo
ATOLL	Wake Island, e.g.
YMA	Singer Sumac
MIATA	Mazda model
NEARS	Gets "warmer"
WAD	Big spender's roll
AMISS	Off
SEE	"Told ya!"
BAKING	Kind of soda
BOPS	Dances to jazz
APOP	Each
GERE	"Unfaithful" star
DNA	Strand from a parent
ASSAM	Northeast Indian state
AGAR	Thickening agent
SHIM	Mason's wedge
STRS	Orch. section
TAI	Clavell's "___-Pan"
OPIATES	Sleep inducers
SYD	Charlie Chaplin's brother
KNIGHTPICKING	Task for King Arthur?
ILA	Wharf workers' org.
CHE	"Evita" narrator
KID	Billy, for one
POTTERY	Ceramic vessels
ECLAIR	Bakery buy
SHILOH	1862 battle site
SPEARED	Like some olives
REARMS	Prepares for more battles
SEDERS	Ceremonial dinners
