WATT	Light bulb unit
WEBTV	Modern news and entertainment source
AMORE	Dean Martin's "That's ___"
TEXAN	George Bush, for one
TRICEPS	Arm muscle
ASTIR	Up and about
AVG	Student's stat.
SERB	Belgrade native
TRIO	The Magi, e.g.
INNER	___ circle
REGRET	Wish undone
AVID	Gung-ho
ASARULE	Usually
VACANTLOT	Group of airheads?
INNS	Rural retreats
DEEP	Like a billionaire's pockets
EMER	Like a 911 call: Abbr.
VERNE	Captain Nemo's creator
SANE	Playing with a full deck
BOXINGRING	Group of packers?
NEER	___-do-well
ACNE	High school breakout
TRACE	Tiny bit
BOER	Afrikaner
RASP	Heavy smoker's voice, maybe
VENEER	Use for expensive wood
ROTC	Some campus marchers: Abbr.
RERUN	Summer show, often
RICK	"Casablanca" cafe owner
PROAM	Certain sports event
AHEM	Interrupter's word
MOPUP	Clean, as a spill
TILTED	Not on the up and up?
ELSA	Designer Schiaparelli
DOUR	Sullen
TABS	They may be picked up in bars
TACO	Crunchy munchie
AMEN	End of grace
BILLYCLUB	Group of male goats?
THOM	___ McAn shoes
MALI	Timbuktu's land
CELLO	Casals's instrument
AMI	Friend of François
ICEPACK	Group of freezer repairers?
ISAY	"My word!"
CLEF	Staff symbol
OSU	The Buckeyes, briefly
CELLS	You use gray ones
LOOKSEE	Visual survey
MULL	Think (over)
STAR	Have the lead
SANDBAG	Bank fortifier
ONLOAN	Borrowed
NOPROB	"Piece of cake!"
PIETA	Michelangelo masterpiece
TIER	Seating section
YOYOS	Toys on strings
SAUNA	Spa spot
FINALE	Closing number
AWARE	With it
LINEN	Some bedding
ENDAT	Conclude by
SICK	Down with something
SPAR	Practice punching
IAGO	"Othello" villain
PACT	Hostilities ender
CBER	Smokey spotter
TBAR	Way uphill
EDWIN	Newsman Newman
PALS	Buddies
RUBBERBAND	Group of masseurs?
ELY	Noted cathedral town
AGUE	Fluish feeling
ONEAL	N.B.A.'s Shaquille
AREA	Nonsmoking ___
ROBE	After-bath wear
BARRY	Humor columnist Dave
GENT	Lady's man
