SPARE	Fifth tire
STALAG	W.W. II camp
PAGODA	Place for a gong
ALONZO	Mourning of the N.B.A.
ROOD	Crucifix
ENDOR	Where King Saul consulted a witch
BOAST	Display strong self-esteem
BADBLOOD	Enmity
ODER	German border river
ALLOUT	Maximum
SITIN	Peaceful demonstration
TBALL	Batting game for kids
FTD	Onetime "Say it with flowers" sloganeer
FANTASIA	1940 Disney film
TREADLE	Potter's pedal
DEVISAL	Creation, as of plans
TALON	Nail on a branch?
ADLIB	Remark that might get you in trouble
ARE	Live
AGOOD	"For ___ time, call ..."
DELTA	It may have a big mouth
NEV	State whose quarter depicts mustangs and sagebrush: Abbr.
LONDONBROIL	Beef entree
NETTED	Took home
TAI	Mai ___
ADZ	Tool with a curved blade
REL	Islam, e.g.: Abbr.
UNLOADS	Severely criticizes, with "on"
OINKS	Cries from sties
GAO	Fed. agcy. staffed with number crunchers
TOUT	Praise
UNAMI	Camus's "Lettres à ___ Allemand"
ISLA	Mallorca, e.g.
CUTON	"___ the dotted line"
CAROM	Bank
UKE	It has four strings, in brief
DANIEL	He spent time in a lion's den
DANGIT	"Shoot!"
ASK	"Shoot!"
BAKEDALASKA	Ice cream dish
BAHAMIAN	Nassau native
LONGTONS	2,240-pound units
NEARED	Approached
NEATENS	Puts in order
ECLIPSE	See 49-Down
MONKS	Abbey residents
ECHO	She pined for Narcissus
BING	___ cherry
BEATLE	Harrison, for one
TOW	Stranded motorist's need
TOKLAS	Alice B. ___ (Gertrude Stein's partner)
ONEACT	Short, as some plays
WAYNES	"___ World"
ALAMODE	Pie preference
ORAMA	Slangy business suffix
DORIC	Column with a simple capital
GIL	Hodges of baseball
LUNAR	With 38-Down, recurring phenomenon lasting a few hours
ONA	___ whim
TIM	Minnesota governor Pawlenty
ROASTTURKEY	Holiday serving
SOAR	Hit the stratosphere
ROPE	Snare, in a way
EPI	Prefix with center
ARTOO	___-Detoo of "Star Wars"
NOLAN	Christopher who directed "Batman Begins" and "The Dark Knight"
NSA	Cryptanalyst's org.
MILAN	Where Verdi's "Otello" premiered
APACE	Quickly
SEN	Capitol Hill worker: Abbr.
ACERS	Ones who try to put things past you?
RESTS	Takes a break
