RUSSIANLANGUAGE	It has 33 letters
RIATAS	Neck ties?
UNSHUT	Open
STARER	Burlesque-goer, typically
SENORAS	Mantilla wearers
IRAN	Setting of the 2007 animated film "Persepolis"
ALLERGENS	They might make you tear up
NETSALES	Store figure
LAE	New Guinea port
AGREED	"You're absolutely right"
NUNNS	Ex-senator Sam of Georgia and others
GEAR	Duds
UPTIMES	When computers are working
ALICANTE	Spanish city and province on the Mediterranean
GAVOTTES	Baroque dances
EYESHADE	Freebie on some airplane flights
INTERLEAGUEPLAY	All-Star Game, e.g.
ASANALTERNATIVE	Optionally
THRONES	High seats
ENRICOS	"Lucia di Lammermoor" lord and namesakes
AUER	Oscar nominee for "My Man Godfrey"
RAGES	Storms
GETATAN	Lie in the sun
MATH	Field with bases
STRAGGLED	Wandered from the direct course
GLUES	Sticks
SENTA	Actress Berger
SERTS	Some Rockefeller Center murals
SLEET	Skid's cause, maybe
VESTED	Protected by law
VENERABLE	Time-honored
RIC	Four-year sch. of higher learning in Providence
REPIPING	Plumber's job, maybe
IMAGINER	Idea person
COLOSSAE	Ancient city to which Paul wrote an Epistle
UNSAFER	Condomless vis-à-vis protected
FIRTREES	Angels are sometimes seen over them
ESE	Tacoma-to-Walla Walla dir.
EMOTES	Shows one's feelings
TORTURE	"Love is reciprocal ___": Marcel Proust
TINTO	Rio ___, multinational coal-mining giant
ONEIOTA	At all
PALOS	___ Verdes Estates, Calif.
MARESNEST	Chaotic place
MEANTO	Treating badly
ENOKIS	Japanese mushrooms
STEEVE	Pack in a ship's hold
TORRES	Baseball's Joe and others
IGOR	Classic 1974 role for Marty Feldman
CENTR	Middle: Prefix
CLASH	Battle
ENTO	Inner opening?
PISTOLA	Gun, to Guillermo
OREN	___ Ishii, character in "Kill Bill"
RADIOER	Ham, e.g.
DRAG	Men might dress in this
INSURANCEBROKER	Pro at protection
CRU	High-quality vineyard
NEARESTRELATIVE	Health form field
GREENHOUSEGASES	"An Inconvenient Truth" topic
