KIWI	Yogurt fruit
KEMP	Dole's 1996 running mate
IRAE	"Dies ___"
WISP	Skinny one
INSTEP	Marching together
SPATE	Outpouring
SCALE	Map info
PERK	Dental plan, maybe
ACK	When doubled, defensive fire
TIE	50-50, e.g.
ELTON	Lyrical John
OPED	Kind of page
ONESTOP	Like some shopping
PATPAULSEN	1968 presidential candidate
EPEE	Fencing need
DESC	Progeny: Abbr.
ERIN	Leprechaun's land
CECIL	Rhodes of Rhodesia
NAPE	Where a puppy may be picked up
MASSMARKET	Not a niche audience
MAYHEM	Wanton destruction
ETES	Hot times in Haiti
PEPTALK	Locker room activity
ONSPEC	Without a contract
NCR	A.T.M. maker
EYE	Ogle
SANCTA	Private places
SCENICS	Nature films, perhaps
AIRDRY	Hang in the breeze
OOMPH	Get-up-and-go
OSRIC	"Hamlet" courtier
ORONO	Maine town
MAIDMARIAN	Robin's sweetheart
CCI	Third-century date
CHAPIN	"Taxi" singer
ROUTS	Clobbers
TENLB	Potato sack wt., maybe
SALIC	___ law (old Frankish code)
SRA	Madrid Mrs.
ETHERS	They'll knock you out
TAS	Profs' help
SPA	Sauna site
PLEA	"Guilty," e.g.
ROI	Many a Louis
MAANDPA	Kettles ... or the theme of this puzzle
ALMOND	Amaretto flavor
SNL	Belushi venue, for short
INDY	May race, informally
YESORNO	Kind of question
SPIRAL	Well-tossed pigskin
ELI	Lilly of pharmaceuticals
COMET	Bill Haley bandmate
TIL	Up to, for short
ICY	In need of salting, maybe
MSNBC	Modern news source
SLOPED	Like a mansard roof
ASIANS	More than 25% of immigrants to the U.S.
ALPHA	Greek leader
COL	Spreadsheet part: Abbr.
CLEAN	Untainted
ENROLL	Sign up
EMMA	1998 role for Uma
NEER	___-do-well
ELNORTE	The U.S., to Mexicans
ESTO	Idaho motto starter
RANI	Indian princess
TWIG	Bit of wicker
ENDS	Winds up
MEIR	Dayan contemporary
PASSEDPAWN	It may become a queen
AOK	Just fine
SSR	Pre-Yeltsin abbr.
MEAN	Penny-pinching
HOSTA	Plantain lily
ENID	Arthurian lady
ARNO	It's under the Ponte Vecchio
AKRON	Rubber hub
DIGS	Grooves on
