BEAST	Brutish sort
BABAS	Raisin cakes
EDUCE	Bring out
ALGER	Ragged Dick creator
SAS	Carrier to Copenhagen
TIPTOE	Move quietly
OSCAR	Picture prize
OCAT	One ___ (ball game)
SAY	For example
CREPE	Kind of sole
APRONS	They have strings attached
RESTSTOP	Place to stretch your legs
TAG	Phone ___
TOADSTOOL	Hammer for a hopper?
AIDA	Disney musical
GLOM	Latch (onto)
ADLAI	Vice president Stevenson
CARPE	Seize, à la Caesar
OIL	Masseur's supply
BUGSPRAYERS	Insect's bedtime ritual?
RUNSTO	Totals
ADO	Bother
ACE	Hole-in-one
TUT	King in a Steve Martin song
POTSDAM	1945 conference site
SEIS	Tres y tres
SERMON	Part of a service
MTS	Whitney and others: Abbr.
CENSES	Perfumes with a joss stick, say
CATSCAN	Puss's food container?
TESLA	Induction motor developer
LOWE	Game company that originated Yahtzee
STITCH	Very funny person
CLAM	Steamer, e.g.
HERO	Medal awardee, maybe
CASS	Game show panelist Peggy
CUPS	Putting targets
AGRI	Prefix with cultural
SHEEPSKIN	Rams, lambs and ewes?
TOTS	Preschoolers
SLOG	Move with difficulty
OSOLE	"___ Mio"
UGH	"Bleah!"
COWSLIP	Sass from Elsie?
CORSETED	Dressed like a Victorian woman
INAWAY	Sort of
OAR	Shell mover
PREGO	Ragú rival
GRAS	Fat, in France
ECON	Milton Friedman's subj.
ELMO	Friend of Big Bird
EEL	Slippery sort
SIERRA	___ Club
ASSURE	Make certain
AGAPE	Dumbstruck
PABSTS	Some beers
PASSON	Hand down
OSRIC	"Hamlet" courtier
WALKBY	Not stop for, in a way
KNOWN	Public, as information
BRONC	Bucker
YATES	Director Peter
POSSESS	Have in one's hands
PIES	Bakers' wares
ORLY	Alternative to De Gaulle
LAB	Test site
LEAS	Pastoral places
NRA	Big D.C. lobby
IRK	Tick off
TURKEYSHOOT	Sound when a gobbler gets a joke?
KKK	Hateful org.
HOY	Today, in Toledo
ELI	"Y" wearer
ERIKA	Actress Eleniak
TOWNE	Oscar-winning screenwriter Robert
SYN	Antonym's antonym: Abbr.
DECKS	Knocks flat
SYNCS	Aligns
