CLUB	Wood for Woods
CLEF	Musical symbol
LILI	1953 Leslie Caron film
UNIT	The "U" in I.C.U.
BEETRED	Visibly embarrassed
SHELF	Where to set books
SHABBY	"Not too ___"
HOLES	The 18 in a round of 18
EMIT	Send out
LEVI	___ Strauss & Co.
FREEPASS	Complimentary ticket
ELKS	Community service group
ELF	Santa's little helper
LEASH	Tether
KAZOO	Musical instrument for the nonmusical
SKEWS	Distorts
LINE	Queue
HOMER	Four-bagger
LEAK	Pipe problem
ELIE	Writer Wiesel
ALIVE	Breathing
FAZE	Unnerve
FITTOBETIED	Hopping mad
OURS	Owned jointly by you and me
DASH	Sprint
SOW	Mother hog
RUBS	Chafes
PATHOS	Tear-jerking sentiment
TED	One of the Kennedys
CHEERY	In good spirits
CHEF	Person who's often sent compliments
HOPI	Indian tribe with kachina dolls
ELAN	Spirit
ERASE	Obliterate
ERWIN	W.W. II German general Rommel
RANT	Sound off
HOLDS	Wrestling maneuvers
CRASHDIET	Lose-weight-fast plan
CODE	Morse ___
IHOP	Denny's alternative
EAVE	Roof overhang
THEN	Next
EPA	Antipollution org.
DOWNS	About half of crossword clues
DENTURES	They may sit in a glass at night
HAH	"Gotcha!"
FINALEDIT	Step just before publishing an article
ALI	He could "float like a butterfly, sting like a bee"
LIFT	Boost
ABOVE	Outranking
ASHE	See 46-Across
BOATMAN	Ferry operator
LINEN	Sheets, tablecloths, etc.
USOPEN	Annual event at 43-Down Stadium
USHERS	Wedding helpers
THRIFT	Frugality
TAGUP	Get ready to run, in baseball
HAIKU	Three-line poem
RAZES	Demolishes
OSHA	Fed. watchdog since 1971
OTTER	Bewhiskered swimmer
AAA	Motorists' org.
TURNTHETIDE	Change defeat into victory
ROLE	Film part
NUDE	In the raw
IAGO	Shakespearean villain
DIES	Fizzles out
EDDY	Whirlpool
GIZA	Egyptian pyramids locale
ASH	Cigar waste
ROUTE	Itinerary
MAID	One with a duster
UKES	Hawaiian strings
ELDER	Tribal leader
AGED	Like good wine
PUSH	Urge on
SEERS	Visionaries
NOSY	Prying
